"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-salesforce-marketing-cloud-developer-en-san-nicolas-D8AAB52C23408AAA61373E686DCF3405","Salesforce Marketing Cloud Developer","BairesDev es la empresa líder de desarrollo de software de América. Con más de 1000 empleados trabajando en proyectos alrededor del mundo un crecimiento anual sostenido de más del 50% y reconocida por Inc. en el Top 10 de empresas privadas de mayor crecimiento de Silicon Valley BairesDev se ha posicionado como referente en la industria del software impulsando la transformación digital de algunas de las empresas más importantes en el mundo como Google Rolls-Royce Pinterest EY SiriusXM Motorola &amp; ViacomCBS.Reconocida por Clutch co como una Compañía Top de Servicios Tecnológicos B2B BairesDev cuenta con oficinas en Estados Unidos Canadá Europa y América Latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  BairesDev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. La empresa contrata únicamente al Top 1% del Talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. Prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!Buscamos Desarrolladores Salesforce Marketing Cloud para sumarse al equipo de Desarrollo y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. Buscamos personas proactivas dinámicas y team players con gran capacidad de organización acostumbradas a manejar múltiples tareas y con marcada atención al detalle. Se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria! Estos desarrolladores enfrentarán numerosos desafíos técnicos por lo cual deberán utilizar tecnologías actuales involucrarse en el mundo mobile de aplicaciones web dispositivos etc.Principales responsabilidades:- Configurar y estructurar modelos de datos (extensiones de datos extensiones de datos compartidos modelo de contacto).- Crear activos de marketing dinámicos y personalizados utilizando varios lenguajes de secuencias de comandos.- Desarrollar la experiencia web de Marketing Cloud (formularios de datos páginas de preferencias personalizadas).- Trabajar y resolver escenarios utilizando REST y SOAP API.- Trabajar con clientes y datos de la plataforma (SQL vistas Enviar registro).- Escribir SQL básico incluidas las declaraciones de unión.- Configurar la importación de datos.- Explicar la gestión de suscripciones.¿Qué Buscamos?- Más de 5 años de experiencia integrando Salesforce Marketing Cloud con Sales Cloud.- Experiencia en configuración de datos manipulación y segmentación avanzada así como informes y análisis.- Contar con experiencia práctica como desarrollador de pila completa para Marketing Cloud creando mensajes personalizados dinámicos páginas de destino y lenguajes de script de Marketing Cloud.- Dominar Marketing Cloud Connector extensiones de datos integración con sistemas externos (API) y conocimiento de DMP e integración de datos es clave.- Certificado en Salesforce Marketing Cloud Developer. (Deseable pero no excluyente)¿Qué Ofrecemos?- Excelente plan de compensación muy por encima de la media del mercado.- Posibilidad de trabajo remoto y con horarios flexibles.- Planes de capacitación.- Amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.Si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador pero con la estructura y los recursos de un líder de mercado multinacional ¡no dude en postularse!","Educación mínima: Terciario
Años de experiencia: 5
Idiomas: Inglés 
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","BairesDev","San Nicolás                          Capital Federal ·                          Ayer 11:33 a. m. (actualizada)","otro tipo de contrato","Desde casa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-marketing-en-villa-luro-8B75A0FE6E50377361373E686DCF3405","Jefe de Marketing","Importante Empresa del rubro Gastronómico se encuentra en la búsqueda de Ejecutivo de Marketing y Ventas para desempeñarse potenciando los canales de venta y desarrollo de producto.Quién ocupe la posición estará a cargo del desarrollo y fidelización de clientes detección de oportunidades de negocio seguimiento y optimización del proceso de venta.Se requiere experiencia comprobable (excluyente) en el área y Licenciatura en Publicidad Comercialización Administración de empresas Ing. Industrial Relaciones Públicas Marketing.Se valora capacidad de autogestión flexibilidad orientación a resultados. Se ofrecen excelentes condiciones de contratación y posibilidades de desarrollo y crecimiento en una empresa de primera línea.Disponibilidad horaria: 8 a 17hs.Zona de Trabajo: Villa Luro.","Educación mínima: Universitario
Años de experiencia: 5
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Kentucky","Villa Luro                          Capital Federal ·                          Ayer 10:03 a. m. (actualizada)","otro tipo de contrato","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-graficoa-para-marketing-en-san-salvador-E8E8C1F2D9D802E261373E686DCF3405","Diseñador/a Gráfico/a - para Marketing","Buscamos un  Diseñador Gráfico  para el Departamento de Marketing con capacidad de gestionar la comunicación visual de manera estratégica. Que maneje fluidamente las aplicaciones de diseño y tenga experiencia comprobable en el área. Sus tareas principales serán diseñar piezas de comunicación y promoción en redes sociales actualizar y mantener la web diseñar y editar material audiovisual para presentaciones y catálogos de productos.      Es excluyente ser estudiante avanzado o graduado de las carreras de  Diseño Gráfico o  Informática tener conocimientos de fotografía video edición y diseño web. Requisitos:•	Disponibilidad: Full time•	Perfil creativo dinámico con capacidad de análisis e investigación. •	Excelente nivel de comunicación oral y escrita y manejo de las relaciones interpersonales.Se ofrece incorporación inmediata y remuneración acorde.","Educación mínima: Terciario
Años de experiencia: 5
Edad: A partir de 28 años
Conocimientos: 3ds Max Adobe Ilustrator Adobe Photoshop AutoCAD SolidWorks
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","San Salvador                          Jujuy ·                          Ayer 09:37 a. m. (actualizada)","otro tipo de contrato","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-marketing-y-diseno-grafico-en-mendoza-B0BA190B3C25C78B61373E686DCF3405","Asistente de Marketing y Diseño Gráfico","Buscamos personas que deseen sumarse a una empresa llena de desafíos!Queremos conocer profesionales de Diseño Gráfico que cuenten con experiencia en la gestión de cuentas de clientes internos y/o externos.Su principal reto será el acompañamiento integral a los distintos canales comerciales de la compañía brindando respuestas en materia de diseño eventos y acciones de difusión y desarrollo de marca.Envianos tus datos!","Educación mínima: Terciario
Años de experiencia: 2
Edad: A partir de 25 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Connecta","Mendoza                          Mendoza ·                          Ayer 09:35 a. m.","Contrato por tiempo indeterminado","Jornada completa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-responsable-de-marketing-digital-en-salta-FEF3DD0DA2ED129761373E686DCF3405","Responsable de Marketing Digital","El profesional será responsable de aportar estrategias de marketing efectivas para optimizar el posicionamiento de la Consultora.Tendrá las siguientes funciones:• Crear contenidos digitales en diversos formatos: artículos vídeos fotos ebooks guías webinars etc. Este contenido será usado posteriormente en diversas estrategias: publicitarias posicionamiento (SEO) de la web imagen de marca promoción y apoyo a eventos etc.• Diseñar acciones dirigidas a aumentar la visibilidad de la marca en medios online y offline y en la mejora de su imagen frente a los usuarios (Branding).• Gestionar los perfiles de la compañía en las redes sociales y su uso en las estrategias de contenidos (Social Media).• Realizar seguimiento de las principales acciones y estrategias de la competencia en el ámbito del marketing digital.• Identificar potenciales clientesNos orientamos a un profesional:o Con conocimientos avanzados en las herramientas digitales más novedosas para la gestión de contenidos en webs blogs y redes sociales análisis web optimización SEO búsqueda de palabras clave etc.o Con perfil creativo y activo en la generación de propuestas; con capacidad de análisis y autogestión.o Capaz de llevar a la práctica con eficacia y en los plazos previstos las distintas acciones e interrelacionarlas para lograr los objetivos de marketing de la compañía.o Que sepa trabajar con flexibilidad y espíritu crítico para poder detectar posibles errores o áreas de mejora en las estrategias definidas y proponer y poner en marcha las correcciones necesarias.","Educación mínima: Universitario
Años de experiencia: 3
Edad: A partir de 28 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","Salta                          Salta ·                          Ayer 05:14 a. m. (actualizada)","otro tipo de contrato","Jornada partida","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analist-de-precios-jr-la-plata-profesional-de-marketing-o-administracion-en-la-plata-969BDCC5F256142561373E686DCF3405","Analist de Precios Jr La Plata - Profesional de Marketing o Administración","Para importante cadena comercial con sede administrativa en la ciudad de La Plata seleccionaremos para su área comercial: un ANALISTA DE PRECIOS JUNIORSerán parte de sus responsabilidades las de realizar análisis del mercado y competencia comparativa de precios definición de precios y actualización constante en el sistema análisis de márgenes de ganancia y posicionamiento respecto al mercado reportes a compras en la detección de oportunidades y para definir nuevos proveedores definición de acciones promocionales y marketing en forma conjunta con el Gerente comercial.Lugar de trabajo La PlataHorario de trabajo: Lunes a viernes full time sábado medio día.La posición reporta al Gerente Administrativo e interactúa con el analista de compras en el área de administración.Requisitos:Hombre preferentemente joven profesional de Licenciatura en comercialización y Marketing Administración o similarCon 1 año de experiencia preferente en posición similarHasta 30 añosCon amplio manejo de herramientas informáticas Excel Word redes sociales.Buscamos un profesional dinámico comprometido con capacidad de trabajo bajo presión y orientado a objetivos.Se ofrece empleo estable en empresa líder en plena expansión y profesionalización de su organigrama proceso de inducción y formación posibilidad de desarrollo profesional.","Educación mínima: Universitario
Años de experiencia: 2
Edad: entre 25 y 35 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Mook´s","La Plata                          Buenos Aires ·                          Ayer 05:14 a. m. (actualizada)","Contrato por tiempo indeterminado","Jornada completa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-marketing-en-mar-del-plata-4EF6F880A6CC3E2561373E686DCF3405","Jefe de Marketing","Importante compañía de la ciudad de Mar del Plata se encuentra en la búsqueda de un Jefe de Marketing. La búsqueda se orienta a graduados de Marketing Comercialización o carreras afines con formación en Marketing digital y Google Analytics y experiencia de 3 años coordinando dicha área.Será responsable de liderar el equipo y servicios tercerizados definir la estrategia de marketing para cada negocio desarrollar las diferentes marcas encargarse del posicionamiento e imagen de la empresa y trabajar en conjunto con el área comercial para el alcance de objetivos.","Educación mínima: Universitario
Años de experiencia: 3
Edad: A partir de 25 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","Mar del Plata                          Buenos Aires ·                          Ayer 04:44 a. m. (actualizada)","Contrato por tiempo indeterminado","Jornada completa","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-responsable-de-marketing-digital-y-ventas-online-en-vicente-lopez-FB186FB28CD80CD061373E686DCF3405","Responsable de Marketing Digital y Ventas Online","SE BUSCA RESPONSABLE DEL ÁREA DE MARKETING DIGITAL Y VENTAS ONLINE PARA EMPRESA DEL RUBRO CONSTRUCCIÓN.SUS RESPONSABILIDADES PRINCIPALES SERÁN:-	LA CREACIÓN DE CAMPAÑAS PUBLICITARIAS EN LAS DIFERENTES PLATAFORMAS DIGITALES (MEDIOS SOCIALES GOOGLE ETC.).-	LA SUPERVISIÓN DE LAS CAMPAÑAS ANÁLISIS DE MÉTRICAS RENDIMIENTO Y OPTIMIZACIÓN DE LAS MISMAS.-	LA PROMOCIÓN DE PRODUCTOS MEDIANTE LA PRODUCCIÓN DE VIDEOS Y FOTOS EN EL LOCAL.-	LA GESTIÓN Y ADMINISTRACIÓN DE LAS VENTAS ONLINE EN LAS DISTINTAS PLATAFORMAS (SITIO WEB TIENDA ONLINE MERCADO LIBRE).-	ACTUALIZACIÓN DE MATERIAL DE LOS PRODUCTOS EN TODAS LAS PLATAFORMAS DE VENTA (PRODUCTOS PRECIOS FOTOS ETC.)-	LA DETECCIÓN DE OPORTUNIDADES DE VENTA EN EL MERCADO.-	ATENCIÓN AL CLIENTE PRESENCIAL Y TELEFÓNICA.","Educación mínima: Secundaria
Años de experiencia: 1
Idiomas: Inglés 
Conocimientos: Microsoft Excel Microsoft Word Autoconfianza Capacidad de decisión Creatividad Diseño Gestión de ventas Servicio al cliente Redes Sociales Gestión de inventarios Mercadeo
Licencias de conducir: B1 
Disponibilidad de Viajar: Si
Disponibilidad de cambio de residencia: No","N/D","Vicente López                          Buenos Aires-GBA ·                          Ayer 04:14 a. m. (actualizada)","Contrato por tiempo indeterminado","Jornada completa","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-importante-empresa-de-software-en-cordoba-0156D577DB802DEB61373E686DCF3405","Analista de Marketing Digital - Importante Empresa de Software","Descripción del puesto:Diseñar planificar y desarrollar campañas de marketing para fidelización y captación de clientes potenciales en medios digitales.Generar contenidos digitalesProducción de reportes y lectura de métricas.Conocimientos requeridos en:Redacción creativa y producción de contenidos.Google Ads Facebook Ads Google Anlytics ROAs SEM SEO GDN Social Media y email marketingManejo de Facebook Instagram LinkedinManejo de herramientas de diseño gráfico y videos (no excluyente)Egresados o estudiantes avanzados de las carreras de Comunicación Marketing o Publicidad","Educación mínima: Terciario
Años de experiencia: 3
Edad: entre 20 y 30 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","CONSULTORA IT","Cordoba                          Córdoba ·                          Ayer 04:14 a. m. (actualizada)","otro tipo de contrato","Jornada reducida","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-en-cordoba-9F8EACCB754BE5D161373E686DCF3405","Analista de Marketing Digital.","¡Te buscamos a vos! Necesitamos que más personas conozcan nuestros productos y servicios. Por eso contamos con todos nuestros canales digitales para que a través de campañas de publicidad efectivas puedas ayudarnos con nuestros objetivos de manera analítica y operativa.Te compartimos nuestras estrategias ¡y escuchamos las tuyas! Que serán resultado de un profundo análisis de datos y procedimientos uniendo cada audiencia con su plataforma ideal. Queremos que seas el estratega de nuestro team y que nos propongas el mejor camino para llegar a objetivos del área. ¿Aceptás el desafío? ¡Postulate ahora!Requisitos excluyentes:Profesional graduado o en cursado avanzado en Marketing Comercialización Comunicación Social o PublicidadExperiencia mínima de 2 años en posiciones similaresDisponibilidad FullTime Conocimiento de : Google Ads Facebook Ads Google Anlytics ROAs SEM SEO GDN Social Media y email marketing.Entre sus funciones más habituales destacan:•        Seguimiento y análisis de los sitios propios y de la competencia. •        Medir analizar y optimizar el desempeño de las campañas.•        Reporting de performance de Campañas.•        Planificación análisis y compra de medios digitales. •        Implementación de campañas en internet.•        Controlar y administrar el presupuesto de Marketing online. •        Investigar nuevas tecnologías y acciones de marketing que puedan incrementar y mejorar la presencia online. •        Atender las tendencias del universo digital: influencias y puntos de contacto además de los nuevos comportamientos del usuario. Se ofrece excelentes condiciones de trabajo y beneficios. Si cumplís con el perfil enviaremos un formulario para que continúes con el proceso de selección.","Educación mínima: Terciario
Años de experiencia: 2
Idiomas: Inglés 
Edad: entre 25 y 40 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","COMPRANDOENGRUPO.NET","Cordoba                          Córdoba ·                          Ayer 04:13 a. m. (actualizada)","Contrato por tiempo indeterminado","Jornada completa","2"
