"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-investigacion-y-desarrollo-compuestos-en-cordoba-940AEE34B8AA584161373E686DCF3405","Ingeniero Investigación y Desarrollo - Compuestos","Importante empresa industrial autopartista selecciona:Ingeniero Investigación y Desarrollo - CompuestosRequisitos: - Nos encontramos en la búsqueda de un Ingeniero para la realización de diseños I+D en importante empresa nacional con residencia en Córdoba Capital.- Deberá contar con experiencia en puestos similares se valorarán aquellos candidatos que hayan trabajado en industrias plásticas metalmecánicas.- Nivel Universitario: Ingeniería Mecánica - Ingeniería Electromecánica - Ingeniero Industrial - Diseñador Industrial - Ingeniero en PlásticoConocimientos en:- Diseño y simulación 3D CAD/CAO/CAM.  - Simulación 3D CAD/CAO/CAM.- SAP Plásticos.- Gestión de proyectos.Tareas principales del puesto:- Diseñar y concebir nuevos productos basados en nuevas aplicaciones o versiones derivadas.- Asegurar mediante cálculos el cumplimiento de los requerimientos de normas y/o procedimientos para quecada pieza o conjunto cumpla con la función definida.- Vigilar y aplicar las herramientas de capitalización teniendo en cuenta históricos de fallas.- Definir los herramentales y dispositivos que aseguren la calidad de la pieza final corresponda a las pautas de diseño con la cual fue concebida.- Ser el “Líder Técnico” del perímetro de desarrollo asignado dentro de la estructura de la organización.- Concebir el proceso de ensamblado apoyándose en el Metodista de Línea.- Garantizar la correcta documentación de la estructura de producto respetando las etapas de verificación yvalidación correspondientes.- Gestionar conjuntamente con el Analista de Documentación el cumplimiento de los requerimientos deseguridad reglamentación y homologación.- Apoyarse en el Coordinador de Ingeniería a los fines de aplicar correctamente las buenas prácticas deloficio.- Pilotear nuevos proyectos y/o versiones derivadas documentando cada pasaje de etapa.- Asegurar el ciclo de vida de un producto acompañándolo y manteniéndolo actualizado.- Mantener un análisis fluido y actualizado de tendencias de tecnológicas.- Efectuar análisis de la competencia periódicamente para definir tendencias de productos.- Asistir a las diferentes áreas de la empresa en la formación de nuevos productos y tecnologías.- Asistir a la fabricación post proyecto y durante toda la vida del producto.Se ofrece- Excelentes condiciones de contratación junto a la posibilidad de formar parte de una empresa consolidada.- Desarrollo profesional- Muy buen clima laboral.","Educación mínima: Universitario
Años de experiencia: 5
Disponibilidad de Viajar: Si
Disponibilidad de cambio de residencia: Si","Cozzi Marro & Asociados","Cordoba                          Córdoba ·                          11 julio (actualizada)","otro tipo de contrato","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-en-desarrollo-de-reportes-con-microstrategy-ob-importante-entidad-bancaria-martinez-en-martinez-10162D0E69E706B761373E686DCF3405","Analista en Desarrollo de reportes con Microstrategy OB - Importante Entidad Bancaria Martinez","En C&amp;S nos encontramos en la búsqueda de un Analista Desarrollador en Reportes con Microstrategy OB para sumarse a un equipo de trabajo para importante Empresa Entidad Bancaria de la zona de Martinez.Nos orientamos a un candidato Jr.+ o Ssr con experiencia en ambiente Oracle con compromiso actitud y ganas de aprender. Los requisitos son Conocimientos de Oracle SQL (nivel inicial)•         Experiencia en desarrollo de reportes con Microstrategy OB (excluyente) •         Dominio del idioma inglés (fluido oral y escrito)•         Proactivo•         Capaz de auto gestionarse•         Experiencia en interacción con otros equipos•         Edad de 25 a 45 años Nice to have:•         Conocimientos de shell scripting en unix (nivel inicial)En caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral.Muchas gracias!","Educación mínima: Universitario
Años de experiencia: 1
Idiomas:  Inglés 
Edad: entre 25 y 45 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","C&S informática s.a.","Martínez                          Buenos Aires-GBA ·                          11 julio (actualizada)","otro tipo de contrato","Jornada completa","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-funcional-de-sistemas-con-experiencia-en-desarrollo-de-software-zona-vicente-lopez-en-vicente-lopez-5E639355473E295D61373E686DCF3405","Analista Funcional de Sistemas con experiencia en Desarrollo de Software Zona Vicente Lopez","Nos encontramos en la búsqueda de un Analista Funcional de sistemas  para liderar un equipo de Desarrollo de Software para Pyme ubicada en Munro (Vicente Lopez).La búsqueda está dirigida a:• Profesionales de Ingeniería en Sistemas Licenciatura en Informática o afines con buen nivel de inglés oral y escrito • Experiencia comprobable liderando proyectos y equipos de desarrollo de software.• Preferentemente experiencia en desarrollo de sistemas en PHP  Javascript  Android. Sql Server y MySQL  y conocimientos de .NET VB y C#. Configuración de Linux Apache y herramientas de gestión de código fuente y gestión de proyectos..Habilidades requeridas:• Muy buen manejo de la comunicación la negociación y los conflictos.• Autonomía• Gestión y coordinación de proyectos de desarrollo.Horario 9 a 18 hs de lunes a viernes. Por favor adjuntar CV actualizado.","Educación mínima: Universitario
Años de experiencia: 5
Idiomas: Inglés 
Conocimientos: SQL Server JavaScript PHP VB.Net MySql
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Agv Recursos Humanos","Vicente López                          Buenos Aires-GBA ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-software-engineer-para-importante-empresa-de-desarrollo-en-mendoza-44807A21DC463A9A61373E686DCF3405","Software Engineer - Para Importante empresa de Desarrollo","Para importante empresa de desarrollo buscamos un Software Engineer el cual deberá  llevar adelante el end-to-end de proyectos de desarrollo en algunos de los productos y prototipos de la empresa.Debe contar con predisposición para la simplicidad y la excelencia técnica: para aprender mejorar y crecer continuamente en una escala personal y profesional.Colaborar para que en equipo y con un alto nivel de datos velar por el altísimo desempeño de las features / productos / prototipos en el mercado.Colaborar y presentar sus ideas de forma clara y efectiva con el resto del equipo (producto diseño animación etc) y la empresa tomando un total ownership sobre el producto.Nos orientamos a un perfil con experiencia en back end en Java 8/ Kotlin/ Python/ Go. Perfiles que se adapten a distintos lenguajes con flexibilidad para aprender otras tecnologías. Interesados en desarrollar y aprender de buenas prácticas (TDD SOLID CLEAN CODE Pair Programming). Se valoran perfiles con experiencia en AWS y Docker.Habilidades técnicas de nivel senior/especialista focalizadas en alguno de los lenguajes en los que trabajamos aunque no excluyente: Kotlin con Vert.x y RxJava Unity3D iOS Android AWS y Docker.Sólido conocimiento de buenas prácticas de programación. Valoramos especialmente: TDD SOLID Clean Code Refactorización CI/CD y Domain-Driven Design.La misión es lograr que nuestros productos sigan siendo de calidad internacional. Manteniendo y superando los estándares mundiales de la industria. Habilidades requeridas: Mentalidad orientada al ownership sobre el producto y responsabilidad que encares.Buenas herramientas humanas y que el trabajo en equipo sea una condición excluyente.Ambición por descubrir y explorar nuevas formas de hacer las cosas lo que incluiría desafiar el statu quo de la tecnología en general.Ganas para impactar directamente sobre el negocio y tomar los riesgos necesarios para eso.Se ofrecen excelentes condiciones de contratación medicina prepaga y otros beneficios.","Educación mínima: Terciario
Años de experiencia: 2
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","MS Coach Sandoval","Mendoza                          Mendoza ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-software-engineer-full-stack-para-importante-empresa-de-desarrollo-en-villa-urquiza-D9A153725713D43E61373E686DCF3405","Software Engineer Full Stack - Para Importante empresa de Desarrollo","Para importante empresa de desarrollo buscamos un Software Engineer el cual deberá  llevar adelante el end-to-end de proyectos de desarrollo en algunos de los productos y prototipos de la empresa.Debe contar con predisposición para la simplicidad y la excelencia técnica: para aprender mejorar y crecer continuamente en una escala personal y profesional.Colaborar para que en equipo y con un alto nivel de datos velar por el altísimo desempeño de las features / productos / prototipos en el mercado.Colaborar y presentar sus ideas de forma clara y efectiva con el resto del equipo (producto diseño animación etc) y la empresa tomando un total ownership sobre el producto.Nos orientamos a un perfil con experiencia en back end en Java 8/ Kotlin/ Python/Go y en el front end tecnologías iOS/ Android/ Unity. Perfiles que se adapten a distintos lenguajes con flexibilidad para aprender otras tecnologías. Interesados en desarrollar y aprender de buenas prácticas (TDD SOLID CLEAN CODE Pair Programming). Se valoran perfiles con experiencia en AWS y Docker.Habilidades técnicas de nivel senior/especialista focalizadas en alguno de los lenguajes en los que trabajamos aunque no excluyente: Kotlin con Vert.x y RxJava Unity3D iOS Android AWS y Docker.Sólido conocimiento de buenas prácticas de programación. Valoramos especialmente: TDD SOLID Clean Code Refactorización CI/CD y Domain-Driven Design.La misión es lograr que nuestros productos sigan siendo de calidad internacional. Manteniendo y superando los estándares mundiales de la industria. Habilidades requeridas: Mentalidad orientada al ownership sobre el producto y responsabilidad que encares.Buenas herramientas humanas y que el trabajo en equipo sea una condición excluyente.Ambición por descubrir y explorar nuevas formas de hacer las cosas lo que incluiría desafiar el statu quo de la tecnología en general.Ganas para impactar directamente sobre el negocio y tomar los riesgos necesarios para eso.Se ofrecen excelentes condiciones de contratación medicina prepaga y otros beneficios.","Educación mínima: Terciario
Años de experiencia: 2
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","MS Coach Sandoval","Villa Urquiza                          Capital Federal ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-unity-developer-ssrsr-para-importante-empresa-de-desarrollo-en-mendoza-3155BFB0F2C9008061373E686DCF3405","Unity Developer (SSr/Sr) - Para importante empresa de desarrollo","Nuestro cliente una empresa internacional de tecnología nos encargó la búsqueda de un Unity Developer con  +3 años de experiencia en desarrollo con herramientas de Unity3D incluyendo Unity UI. Con Experiencia en implementaciones gráficas como sistemas de partículas y shaders. Mucha predisposición para la simplicidad y la excelencia técnica: disposición para aprender mejorar y crecer continuamente en una escala personal y profesional.Excelentes habilidades de comunicación: capacidad para colaborar y presentar sus ideas de forma clara y efectiva con el resto del equipo y la empresa.Idealmente sólido conocimiento de buenas prácticas de programación. Valoramos especialmente: TDD SOLID Clean Code Refactorización CI/CD y Domain-Driven Design.El postulante tendrá oportunidades de crecimiento profesional respaldadas por un plan de carrera y procesos de revisión personalizados.Se ofrecen excelentes condiciones de contratación medicina prepaga y otros beneficios.","Educación mínima: Terciario
Años de experiencia: 3
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","MS Coach Sandoval","Mendoza                          Mendoza ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-desarrollo-videojuegos-programacion-diseno-en-rosario-CCC12D8317B6787261373E686DCF3405","Líder de desarrollo - Videojuegos programación diseño","Establecimiento educativo se encuentra en la búsqueda de personas con experiencia en el desarrollo y uso  de videosjuegos y que cuenten con las siguiente competenciasAptitudes para la comunicación verbal y escrita. / Ayuda a decidir el aspecto del juego y cómo se juega.Capacidad para trabajar en equipo./Capacidad para  prestar atención al detalle.Conocimientos especializados en informática. / Conocimientos sobre la cultura de juegos popular.Crea ideas para juegos de ordenador./Creativo.Desarrolla reglas de juego mostrando opciones de jugador./ Destrezas en informática.Diseña interfaces de juegos de ordenador./ Habilidad para el diseño.Habilidad para la programación./Habilidad para los negocios.Habilidad para realizar presentaciones./Imaginación visual.Interés por los juegos de ordenador./Metódico.Paciente./Presenta ideas a directivos y clientes.Realiza bocetos y storyboards./Realiza guiones de argumentos de juegos de ordenador.Realiza prototipos básicos./Seguro./Sensato.Importante que tenga experiencia en el trabajo en que equipo.La búsqueda está orientada a personas con las competencias descriptas  fundamentalmente entusiastas y flexibles ante los cambiosExcluyente experiencia en videojuegos.","Educación mínima: Terciario
Años de experiencia: 2
Idiomas: Inglés 
Edad: A partir de 14 años
Conocimientos: Administración de sistemas
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","RRHH Buro","Rosario                          Santa Fe ·                          10 julio (actualizada)","otro tipo de contrato","Jornada partida","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-unity-developer-ssrsr-para-importante-empresa-de-desarrollo-en-villa-urquiza-EAB562C714681E2461373E686DCF3405","Unity Developer (SSr/Sr) - Para importante empresa de desarrollo","Nuestro cliente una empresa internacional de tecnología nos encargó la búsqueda de un Unity Developer con  +3 años de experiencia en desarrollo con herramientas de Unity3D incluyendo Unity UI. Con Experiencia en implementaciones gráficas como sistemas de partículas y shaders. Mucha predisposición para la simplicidad y la excelencia técnica: disposición para aprender mejorar y crecer continuamente en una escala personal y profesional.Excelentes habilidades de comunicación: capacidad para colaborar y presentar sus ideas de forma clara y efectiva con el resto del equipo y la empresa.Idealmente sólido conocimiento de buenas prácticas de programación. Valoramos especialmente: TDD SOLID Clean Code Refactorización CI/CD y Domain-Driven Design.El postulante tendrá oportunidades de crecimiento profesional respaldadas por un plan de carrera y procesos de revisión personalizados.Se ofrecen excelentes condiciones de contratación medicina prepaga y otros beneficios.","Educación mínima: Terciario
Años de experiencia: 3
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","MS Coach Sandoval","Villa Urquiza                          Capital Federal ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-sr-qa-automation-para-importante-empresa-de-desarrollo-en-villa-urquiza-E812FBA7F13FA4CF61373E686DCF3405","Sr. QA Automation - Para importante empresa de desarrollo","Nuestro cliente una empresa internacional de tecnología nos encargó la búsqueda de un Sr. QA Automation con al menos 4 años de experiencia y un sólido conocimiento en las siguientes tecnologías:•	Selenium Web Driver (preferentemente Appium) y Selenium Grid.•	Lenguaje C# Java u otro orientado a objetos.•	Concepto de proxy y endpoints REST.•	SVN Git u otra herramienta de versionado de código.Es un plus si conoces de:•	WebSockets•	Provider de devices/browser•	Testing Unity•	Gitlab CI•	Build mobile (CI + CD)El postulante tendrá oportunidades de crecimiento profesional respaldadas por un plan de carrera y procesos de revisión personalizados.Se ofrecen excelentes condiciones de contratación medicina prepaga y otros beneficios.","Educación mínima: Universitario
Años de experiencia: 4
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","MS Coach Sandoval","Villa Urquiza                          Capital Federal ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","4"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-o-licenciado-en-sistemas-consultoria-desarrollos-en-salta-2BC70BE76CD1C67261373E686DCF3405","Ingeniero o Licenciado en Sistemas - Consultoria Desarrollos","Generar interfase en ERP implementacion. reportes validaciones.Deseable experiencia previa en algún ERP.Marcada orientación al cliente y vocación de servicio (excluyente)Programación Microsoft SQL Server.Programación VB Script.Conocimientos sobre web services APIs","Educación mínima: Universitario
Años de experiencia: 1
Idiomas: Inglés 
Edad: entre 21 y 35 años
Conocimientos: SQL Server
Disponibilidad de Viajar: Si
Disponibilidad de cambio de residencia: No","Ingenieria & Sistemas","Salta                          Salta ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","1"
