"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-vidrieristaescenografa-vidrierista-en-lomas-de-zamora-20AD5C7E151E824161373E686DCF3405","vidrieristaescenografa - Vidrierista","Para importante empresa de indumentaria con experiencia. Apasionada por el mundo de la moda. con conocimientos de layout visual estilismo escenografia y decoracion de interiores. Edad entre 25 y 40 años en lo posible resida en zona sur","Educación mínima: Secundaria
Años de experiencia: 1
Idiomas:  Español 
Edad: entre 25 y 39 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Rafulú S.A.","$ 20.00000 (Neto mensual) ·                                                   Lomas de Zamora                          Buenos Aires-GBA ·                          Ayer 12:39 p. m. (actualizada)","contrato a plazo fijo","Jornada completa                                ","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-grafica-con-conocimientos-de-ecommerce-y-fotografia-en-lomas-de-zamora-643C3FDC8493CD0161373E686DCF3405","diseñadora grafica - con conocimientos  de ecommerce y fotografia","Diseñadora grafica con conocimento de fotografia y e-commerce para importante empresa de indumentaria. Edad de 20 a 30 añoscon mediana experiencia en el rubro. Proactiva interesada por la moda y las tendencias. Preferentemente resida en zona sur ramal Lomas de zamora. Interesante sueldo y comisiones","Educación mínima: Terciario
Años de experiencia: 1
Idiomas:  Inglés 
Edad: entre 20 y 30 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Rafulú S.A.","Lomas de Zamora                          Buenos Aires-GBA ·                          Ayer 12:39 p. m. (actualizada)","contrato a plazo fijo","Jornada completa","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-grafico-english-only-en-cordoba-03127ACED488BECD61373E686DCF3405","Diseñador/a Gráfico - English Only","Become a full-time home-based graphic designer. This job combines the best of both worlds: the flexibility of a home-based job and the security of a steady stream of projects. Work directly with our amazing clients! The graphics you’ll create will help support their businesses. What’s it like to work at Design Pickle? Design Pickle’s main headquarters are in Scottsdale Arizona. Our team of awesome designers is based in the Philippines Mexico Peru Colombia &amp; Argentina. Though the work is remote we’ve worked very hard to create a friendly and connected culture. Responsibilities: -Execute graphic design requests efficiently with a pragmatic approach. Meaning: keep designs ego-free and do what’s best for the client. -Follow internal processes. Communicate effectively with your assigned Production team to ensure that requests are being executed accurately. -Communicate with your assigned clients via email. Working online means written requests and written responses. Follow instructions and express yourself clearly and professionally. -Be able to look up and learn new things quickly. Questions are welcome and we help each other learn every day. But a good designer is able to troubleshoot most issues efficiently. -Have an eye for accuracy and quality control. Review outbound graphics before sending them. Minimize unnecessary back-and-forth by making sure your output is in line with your client’s request. -Be available to work full-time following a regular schedule. Professional Requirements: -A FRIENDLY POSITIVE attitude! -Team player! -Experience with handling clients. -Strong attention to detail. -Proficient in spoken and written English. -Proficient in Adobe Photoshop Illustrator and InDesign -Graphic design experience (commercial)* Equipment Requirements: -Has daily/unlimited access to fast internet connection not less than 20MBPS -Has an updated computer or laptop that can handle lots of design action! -Has a working web camera installed — for application training and video conferences/meetings -Adobe CC AI PSD and INDD installed. Benefits: Work from home — or from anywhere! Unbeatable pay rates. Internal career/promotion opportunities beyond graphic design. Free training and personal development. The Graphic Designer position is a critical part of the Production team. Regardless of your design expertise all paths at Design Pickle start with this position. Don’t forget to check your spam folder from time to time as some of our emails are forwarded there. GET READY TO CHANGE YOUR LIFE and we look forward to meeting you soon!","Educación mínima: Universitario
Idiomas: Inglés 
Edad: entre 20 y 50 años
Conocimientos: Adobe Ilustrator Adobe Photoshop Adobe InDesign
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Design Pickle","$ 50.00000 (Neto mensual) ·                                                   Cordoba                          Córdoba ·                          11 julio (actualizada)","contrato a plazo fijo","Jornada completa                                ","N/D"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-carpintero-muebles-de-madera-maciza-para-fabrica-de-sillas-de-diseno-en-carapachay-BE8F7854E8EB8FFD61373E686DCF3405","Carpintero muebles de madera maciza - Para fábrica de sillas de diseño","Carpintero con amplia experiencia en fabricación de muebles de madera maciza de calidad. Dinámico hábil y detallista. Con buenas referencias. Horario de trabajo a convenir -medio o todo el día-. POR FAVOR NO SE POSTULE SI NO REUNE LAS CONDICIONES REQUERIDAS. Muchas gracias","Educación mínima: Primaria
Años de experiencia: 9
Edad: entre 35 y 58 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","$ 3.00000 (Neto mensual) ·                                                   Carapachay                          Buenos Aires-GBA ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa                                ","N/D"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-multimedial-o-grafico-en-san-isidro-6B47A671ABCF396861373E686DCF3405","Diseñador Multimedial o Grafico","Importante Empresa ubicada en Zona Norte del Gran Bs.As incorporara un Diseñador Gráfico o Multimedial Jr. con conocimientos de HTML paquete Adobe (Illustrator Photoshop Dreamweaver Premiere y After Effects).La búsqueda la orientamos a estudiantes o graduados en Diseño Gráfico con experiencia en posiciones similares. Serán sus tareas:Armado de mails html.Armado de piezas gráficas para redes sociales.Armado de gifs. Compaginación de videos.  Serán aptitudes requeridas para este puesto: Trabajo en equipo - Desarrollo de tareas bajo presión - Tolerancia a la frustración - Persistencia y constancia en la obtención de resultados - Proactividad.Jornada Full Time (con flexibilidad horaria).","Educación mínima: Universitario
Años de experiencia: 1
Edad: entre 20 y 35 años
Conocimientos: HTML Adobe Ilustrator Adobe Photoshop Macromedia Dreamweaver Adobe After Effects Adobe Premier
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Suministra SRL","$ 11.11100 (Neto mensual) ·                                                   San Isidro                          Buenos Aires-GBA ·                          10 julio (actualizada)","contrato eventual","Jornada completa                                ","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-jujuy-en-san-salvador-5EA0E0A3AF91D47F61373E686DCF3405","Diseñador Gráfico - Jujuy","Importante Empresa  se encuentra en la búsqueda de un  Diseñador Gráfico  para el Departamento de Marketing con Perfil creativo dinámico con capacidad de análisis e investigación buen nivel de comunicación oral y escrita  con excelente manejo de las relaciones interpersonales.Tareas Principales:- Diseñar las piezas de comunicación y promoción en redes sociales.- Actualizar y mantener la web.- Diseñar y editar material audiovisual para presentaciones y catálogos de productos.    Se valora que sea Estudiante avanzado o graduado de: Diseño gráfico o  Informática que tenga conocimientos de fotografía video edición y Diseño Web. Requisitos •	Conocimientos de Illustrator Photoshop valorable conocimientos en programas técnicos como Rhino ceros Autocad Solid Works Art Cam o 3D Max. •	Años de experiencia en el área: 5•	Edad: A partir de 28 años •	Disponibilidad: Full timeSe ofrece incorporación inmediata","Educación mínima: Terciario
Años de experiencia: 5
Edad: A partir de 28 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","San Salvador                          Jujuy ·                          10 julio (actualizada)","otro tipo de contrato","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-graficoa-para-marketing-en-san-salvador-E8E8C1F2D9D802E261373E686DCF3405","Diseñador/a Gráfico/a - para Marketing","Buscamos un  Diseñador Gráfico  para el Departamento de Marketing con capacidad de gestionar la comunicación visual de manera estratégica. Que maneje fluidamente las aplicaciones de diseño y tenga experiencia comprobable en el área. Sus tareas principales serán diseñar piezas de comunicación y promoción en redes sociales actualizar y mantener la web diseñar y editar material audiovisual para presentaciones y catálogos de productos.      Es excluyente ser estudiante avanzado o graduado de las carreras de  Diseño Gráfico o  Informática tener conocimientos de fotografía video edición y diseño web. Requisitos:•	Disponibilidad: Full time•	Perfil creativo dinámico con capacidad de análisis e investigación. •	Excelente nivel de comunicación oral y escrita y manejo de las relaciones interpersonales.Se ofrece incorporación inmediata y remuneración acorde.","Educación mínima: Terciario
Años de experiencia: 5
Edad: A partir de 28 años
Conocimientos: 3ds Max Adobe Ilustrator Adobe Photoshop AutoCAD SolidWorks
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","San Salvador                          Jujuy ·                          10 julio (actualizada)","otro tipo de contrato","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-desarrollo-videojuegos-programacion-diseno-en-rosario-CCC12D8317B6787261373E686DCF3405","Líder de desarrollo - Videojuegos programación diseño","Establecimiento educativo se encuentra en la búsqueda de personas con experiencia en el desarrollo y uso  de videosjuegos y que cuenten con las siguiente competenciasAptitudes para la comunicación verbal y escrita. / Ayuda a decidir el aspecto del juego y cómo se juega.Capacidad para trabajar en equipo./Capacidad para  prestar atención al detalle.Conocimientos especializados en informática. / Conocimientos sobre la cultura de juegos popular.Crea ideas para juegos de ordenador./Creativo.Desarrolla reglas de juego mostrando opciones de jugador./ Destrezas en informática.Diseña interfaces de juegos de ordenador./ Habilidad para el diseño.Habilidad para la programación./Habilidad para los negocios.Habilidad para realizar presentaciones./Imaginación visual.Interés por los juegos de ordenador./Metódico.Paciente./Presenta ideas a directivos y clientes.Realiza bocetos y storyboards./Realiza guiones de argumentos de juegos de ordenador.Realiza prototipos básicos./Seguro./Sensato.Importante que tenga experiencia en el trabajo en que equipo.La búsqueda está orientada a personas con las competencias descriptas  fundamentalmente entusiastas y flexibles ante los cambiosExcluyente experiencia en videojuegos.","Educación mínima: Terciario
Años de experiencia: 2
Idiomas: Inglés 
Edad: A partir de 14 años
Conocimientos: Administración de sistemas
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","RRHH Buro","Rosario                          Santa Fe ·                          10 julio (actualizada)","otro tipo de contrato","Jornada partida","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-web-en-liniers-D5857AA8A062479C61373E686DCF3405","Diseñador Web","Para Importante Compañía de Desarrollo de Software nos encontramos en la búsqueda de un Diseñador Web. La búsqueda se orienta a estudiantes/ egresados de Diseño Web o carrera afín que estén fuertemente motivados en aprender y crecer en el área.Proactivos con excelentes habilidades comunicacionales capacidad para trabajar en equipo.Horario de trabajo: Lunes a Viernes de 8 a 17 hs.  Zona: Liniers Ciudad de Buenos Aires.Se ofrecen excelentes condiciones de contratación relación directa con la empresa obra social de primer nivel comedor y buen clima laboral.","Educación mínima: Secundaria
Años de experiencia: 1
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","$ 22.22200 (Neto mensual) ·                                                   Liniers                          Capital Federal ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa                                ","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-grafica-con-conocimientos-de-ecommerce-y-fotografia-en-monserrat-DBA113E09723B8EB61373E686DCF3405","Diseñadora grafica con conocimientos de ecommerce y fotografia","Somos una importante empresa lider en el rubro y nos encontramos en la busqueda de un Diseñador Gráfico.Algunas de sus tareas serán:- Diseño y diagramación de piezas gráficas para distintos formatos impresos (folletos banners brochures cartelería) y digitales (redes sociales página web newsletters).- Retoque fotográfico manipulación fotográfica.- Realizar estudio de mercado/benchmarking continuo de COMPETIDORES (nacionales e internacionales) - Creación de piezas para Comunicaciones Internas.- Edición y retoque de imágenes. Elaboración de fotomontajes.- Atender las necesidades surgidas en cuanto a material comercial y promoción. Es importante contar con manejo avanzado de herramientas tales como: Illustrator Photoshop InDesign Corel Draw Dreamweaver y algún editor de texto .Nos orientamos a aquellas personas que tengan entre 20 y 40 años y que estén graduados o cursando el último año de la carrera de diseñador gráfico. Lugar de trabajo: Centro CABA..","Educación mínima: Terciario
Años de experiencia: 2
Edad: entre 20 y 40 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","Monserrat                          Capital Federal ·                          10 julio (actualizada)","otro tipo de contrato","Jornada completa","2"
