"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-en-bucaramanga-70A8541A5CC5823F61373E686DCF3405","Auxiliar Contable","- Contabilización de gastos- Conciliaciones bancarias- Elaboración de facturas y contabilización de las mismas- Manejo de notas crédito y débito- Liquidación de nomina- Manejo de planillas de seguridad social- Excelente manejo de excel- Conocimiento en cualquier sistema contable","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 1
Edad: entre 20 y 30 años
Conocimientos: Windows Microsoft Excel
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","FUNDACION DESARROLLO NACIONAL","$ 877.80300 (Mensual) ·                                                   Bucaramanga                          Santander ·                          Ayer 04:45 a. m. (actualizada)","Contrato a término fijo","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-desarrollo-de-productos-dibujo-tecnico-en-barranquilla-B69E81021A1C03FD61373E686DCF3405","Auxiliar de Desarrollo de productos - dibujo tecnico","Importante empresa del sector de manufactura solicita personal Técnico industrial en la especialidad de dibujo técnico tecnólogo  para el cargo de AUXILIAR DE DESARROLLO DE PRODUCTOS  con experiencia mínima de dos anos en diseno de elementos  mecánicos y troqueles o a fines.. Conocimientos en AutoCAD y Solid Edge.Postule si cumple con el perfil adjuntando hoja de vida por computrabajo.","Educación mínima: Universidad / Carrera técnica
Años de experiencia: 2
Edad: entre 23 y 50 años
Conocimientos: AutoCAD Solid Edge
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","ASERVIN  S.A","$ 1.000.00000 (Mensual) ·                                                   Barranquilla                          Atlántico ·                          Ayer 04:45 a. m. (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-operativo-en-bogota-dc-C3381F15B4F7275F61373E686DCF3405","Coordinador Operativo","Profesional en Administración Ingeniería Industrial o Economía con Especialización en procesos o proyectos. Con más de 6 años de experiencia profesional de los cuales mínimo 4 deben ser como Ejecutivo Asesor Director o Coordinador de proyectos en administración de salud logística y/o de tecnologías en salud. Debe tener habilidades en Gestión de procesos Manejo de herramientas de Ofimática e Innovación.","Educación mínima: Postgrado / Especialización
Años de experiencia: 6
Conocimientos: Microsoft Office
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","FUNDACION DESARROLLO NACIONAL","Bogotá D.C.                          Bogotá D.C. ·                          Ayer 04:14 a. m. (actualizada)","Contrato a término fijo","Tiempo Completo","6"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-desarrollo-y-estandarizacion-empresa-de-alimentos-en-yumbo-73C06399354A5CFE61373E686DCF3405","Ingeniero de Desarrollo y Estandarización - Empresa de alimentos","Empresa Fabricante de alimentos requiere Ingeniero de Alimentos para desempeñarse en el área de investigación y desarrollo ejecutando actividades como: 1.Responsable de documentación legal (Registros sanitarios fichas técnicas PT MP PP EM Marcas propias instructivos nuevos y listas nuevas). 2.Desarrollo mejora de procesos de la planta validaciones nuevos equipos. 3. Validación de proveedores materias primas. 4 Apoyar procesos de desarrollo de nuevos productos acorde a la necesidad. 5 Cualquier otro que se requiera acorde a las necesidades de la compañía.IMPORTANTE: Profesional de ingeniera de alimentos industrial química. Debe ser ProfesionalEmpresa ubicada en Acopi Yumbo se cuenta con ruta de transporte para la ciudad de Cali","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 3
Idiomas: Español Inglés 
Edad: entre 20 y 40 años
Conocimientos: Microsoft Excel
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","Yumbo                          Valle del Cauca ·                          Ayer 04:04 a. m. (actualizada)","Contrato a término indefinido","Tiempo Completo","3"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-investigacion-y-desarrollo-tocancipa-en-tocancipa-765F2389E43638B061373E686DCF3405","Jefe de investigacion y desarrollo - Tocancipa","Importante compañía que produce y comercializa alimentos Cárnicos Ubicada cerca en el parque Tibitoc cerca al PARQUE JAIME DUQUE requiere JEFE INVESTIGACION Y DESARROLLO. REQUISITOS:Profesional en Ingeniera de alimentos Química o Ingeniería Química.Mínimo 5 años en actividades relacionadas con el cargo en Evaluar nuevos productos e insumos que permitan a la compañía satisfacer las necesidades de los clientes. Investigar y desarrollar productos que se ajusten a las normas legales. Investigar técnicas de mejoramiento de procesos procedimientos y actividades en la elaboración de Carnes Frías buscando un mayor y mejor impacto posible. Sobre la productividad de la planta. Generar el desarrollo estructural la ejecución y el seguimiento en la factibilidad de nuevos proyectos relacionados con la innovación de nuevos productos y/o generando mejoras en planta.  BPM Conocimientos en OfficeFUNCIONES: Investigar y generar desarrollos para Carnes Frías con el objetivo de evaluar nuevos Productos insumos y fórmulas que permitan a la compañía satisfacer las necesidades De los clientes cumplir con las normas legales y mantener la calidad e inocuidad de los Mismos.CONDICIONES:Salario $$4.000.000.  Más prestaciones de ley + Recargos con todas las prestaciones de ley.HORARIOS: domingo a domingo con un día de descanso entre semana en turnos rotativos de 6:00A.M. a 2:00 P.M. de 2:00 P.M. a 10:00 P.M. Y de 10:00 P.M. a 6:00A.MLugar: parque Industrial Tibitoc – Tocancipa. INTERESADOS APLICAR A LA OFERTA TE ESTAREMOS LLAMANDO","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 3
Edad: entre 20 y 43 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Proservis","$ 4.000.00000 (Mensual) ·                                                   Tocancipá                          Cundinamarca ·                          11 julio","Contrato de Obra o labor","Tiempo Completo                                ","3"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-investigacion-y-desarrollo-urgente-tocancipa-en-tocancipa-B16ABFA6ACAB778D61373E686DCF3405","Jefe Investigación y Desarrollo - Urgente Tocancipa","Importante compañía que produce y comercializa alimentos Cárnicos Ubicada cerca en el parque Tibitoc cerca al PARQUE JAIME DUQUE requiere  JEFE INVESTIGACION Y DESARROLLO.REQUISITOS:Profesional en Ingeniera de alimentos Química o Ingeniería Química.Mínimo 5 años en actividades relacionadas con el cargo en Evaluar nuevos productos e insumos que permitan a la compañía satisfacer las necesidades de los clientes. Investigar y desarrollar productos que se ajusten a las normas legales. Investigar técnicas de mejoramiento de procesos procedimientos y actividades en la elaboración de Carnes Frías buscando un mayor y mejor impacto posible. Sobre la productividad de la planta. Generar el desarrollo estructural la ejecución y el seguimiento en la factibilidad de nuevos proyectos relacionados con la innovación de nuevos productos y/o generando mejoras en planta.  BPM Conocimientos en OfficeFUNCIONES: Investigar y generar desarrollos para Carnes Frías con el objetivo de evaluar nuevos Productos insumos y fórmulas que permitan a la compañía satisfacer las necesidades De los clientes cumplir con las normas legales y mantener la calidad e inocuidad de los Mismos.CONDICIONES:Salario $$4.000.000.  Más prestaciones de ley + Recargos con todas las prestaciones de ley.HORARIOS: domingo a domingo con un día de descanso entre semana en turnos rotativos de 6:00A.M. a  2:00 P.M. de 2:00 P.M. a 10:00 P.M. Y de 10:00 P.M. a 6:00A.MLugar: parque  Industrial Tibitoc – Tocancipa. INTERESADOS APLICAR A LA OFERTA TE ESTAREMOS LLAMANDO","Educación mínima: Universidad / Carrera Profesional
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Proservis","$ 4.000.00000 (Mensual) ·                                                   Tocancipá                          Cundinamarca ·                          11 julio","Contrato de Obra o labor","Tiempo Completo                                ","N/D"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-desarrollo-movil-en-bogota-dc-D68BBB800846254061373E686DCF3405","Ingeniero de Desarrollo Móvil","Profesional en Ingeniería de Sistemas electrónica informática o afines con experiencia de dos (2) años o mas en desarrollo de aplicaciones móviles Android.Implementación o consumo de API RESTconocimientos de bases de datos relacionales como SQL Server o MySQL Herramientas de desarrollo como Android Studio.Control de código fuente. Deseable conocimiento de frameworks de desarrollo como Xamarin o Cordova o Ionic o Flutter.Deseable certificación Associate Android Developer","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 4
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Inter Rapidisimo S.A","$ 6.000.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          11 julio (actualizada)","Contrato a término indefinido","Tiempo Completo                                ","4"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-contadora-horario-diurno-completo-manejo-de-personal-en-floridablanca-4BF4EDE58B5B2E0961373E686DCF3405","contadora - horario diurno completo  manejo de personal","mínimo 3 años de experiencia preferiblemente con manejo de siigo elaboración de informes financieros nomina conciliaciones a nivel general manejo de exogena reporte a las supersociedades manejo de personal salario a convenir horario de lunes a viernes de 7: 00 am a 5: 30  pm.","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 3
Idiomas: Español 
Edad: entre 25 y 45 años
Conocimientos: Windows
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","DESARROLLOS METROPOLITANOS SAS","$ 1.800.00000 (Mensual) ·                                                   Floridablanca                          Santander ·                          11 julio (actualizada)","Contrato a término indefinido","Tiempo Completo                                ","3"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-con-experiencia-en-desarrollo-de-software-en-bogota-dc-86BE02696B542FFC61373E686DCF3405","ingeniero de sistemas con experiencia en desarrollo - De software","Importante entidad financiera requiere para su equipo de trabajo Ingenieros en sistemas profesionales titulados experiencia reciente mínima de 8 MESES en  de desarrollo preferiblemente  de lenguajes punto net java Programación en SQL (Oracle/SQL Server)  deseable si conoce  lenguaje Cobol importante contar con buena capacidad de  aprendizaje  liderazgo  (se valen las practicas)    Horario:   salario de $ $4.355.799  + prestaciones legales OJO POSTULAR HOJA DE VIDA CON FUNCIONES GRACIAS  o presentar su hoja d e vida en la carrera 72a#48-06 barrio normandia preguntar el analista HARRYSON QUINTERO","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 3
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","SUMMAR TEMPORALES SAS","$ 4.500.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          11 julio (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","3"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-e-industrial-experiencia-en-desarrollo-3d-y-renderizado-en-bogota-dc-12BC57A3A3F806E761373E686DCF3405","Diseñador grafico e industrial - experiencia en desarrollo 3D y renderizado","Empresa de producción gráfica gran formato requiere vincular diseñador gráfico con habilidades en desarrollo 3D y renderizado con experiencia mínima de 1 año en diseño gráfico y diseño de espacios comerciales stands exhibidores mobiliario y cualquier tipo de producto mediador. IMPORTANTE: MANEJO DE PRE- PRENSA DE GRAN FORMATO. (FINALIZADO DE ARCHIVOS PARA GRAN FORMATO )FUNCIONES A REALIZAR: Persona con experiencia en la creación de los componentes visuales de diversos tipos de piezas publicitarias para gran y pequeño formato. Debe realizar el alistamiento de los archivos para procesos de impresión y corte Realizar todo tipo de montajes para definición de materiales montajes para paso a  las diferentes máquinas realizar visuales de los proyectos a desarrollar con toda la definición técnica requeridaCon conocimiento y manejo de programas como Rhinoceros Vray adobe illustrator y adobe Photoshop realizar planos renders constructivos y cualquier tipo de pieza necesaria para la correcta y eficaz producción de cada uno de los productos mediadores que requiera cada uno de nuestros proyectos.Horarios: Lunes a sabado Salario: A convenir","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 1
Edad: entre 28 y 40 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","PERSOM S.A.S","$ 1.200.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          11 julio","Contrato de Obra o labor","Tiempo Completo                                ","1"
