"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-compras-de-telas-compras-de-telas-e-insumos-en-cali-055A8B1381D6DE5961373E686DCF3405","Compras de Telas - Compras de Telas e Insumos","Importante empresa de producción textil se encuentra en la búsqueda de una mujer con amplia experiencia en la negociación con proveedores para la realización de las diferentes compras a nivel nacional e internacional.Experiencia mínima de dos (2) años con sentido de la urgencia disponibilidad de tiempo en caso necesario. Debe asegurar la tenencia del stock generar negociaciones con proveedores priorizar las gestiones de compra administrar el inventario de los insumos y materia prima.Formación a nivel técnica o tecnologo en carreras de Ingeniería preferiblemente.Habilidad en el manejo de Excel intermedioHorario de Lunes a sábado.Salario a convenir. La empresa ofrece estabilidad laboral con Contrato a término indefinido y directo por la empresa prestaciones sociales.","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 2
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Cloting Group s a s","Cali                          Valle del Cauca ·                          Ayer 05:31 a. m. (actualizada)","Contrato a término indefinido","Tiempo Completo","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-patronista-disenador-de-modas-optitex-en-cali-B0426681AB26CADA61373E686DCF3405","Patronista Diseñador de modas. - Optitex","Importante empresa  de producción textil requiere para su equipo de trabajo personal para laborar como PATRONISTA en tejido Plano e Indigo. Formación académica como Patronista Diseñador de Moda o Vestuario. Dominio del programa Optitex. Experiencia mínima de dos (2) años en cargos similares Funciones: 1.	Interpretar fichas técnicas para la realización de la moldería.2.	Adaptación de patrones básicos a las necesidades de creación de moldería de acuerdo a las tablas de medidas de cada cliente debe garantizar las medidas correspondientes según el cliente en 4.	Desarrollo y verificación de recorridos despieces y medidas de los patrones de moldería.5.	Analizar materias primas productos y procesos de confección necesarios para crear la moldería garantizando la entrega a tiempo o la anticipación a novedades en el proceso.6.	Verificar molde impreso en papel y cazado de piezas7.	Direccionar al operario de muestras en el armado de la prenda comunicando con precisión los insumos y particularidades de cada prenda.8.	Verificar el correcto diseño del patrón según las especificaciones del cliente muestra o fotografía.9.	Revisar la prenda en la modelo de tallaje o maniquí con el fin de garantizar el correcto amolde a la anatomía de la muestra.Persona con alto sentido de la urgencia y atención al detalle. Se ofrece contratación inmediata. Estabilidad laboral y contrato directo con la empresa.Salario a convenir.","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 3
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Cloting Group s a s","Cali                          Valle del Cauca ·                          Ayer 05:01 a. m. (actualizada)","Contrato a término indefinido","Tiempo Completo","3"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-grafica-tiempo-completo-teletrabajo-toda-colombia-en--3FA6C6287B2E71CA61373E686DCF3405","Diseñadora Gráfica - Tiempo completo teletrabajo toda colombia.","Buscamos un perfil relacionado con el mundo del marketing diseño gráfico y web.Funciones:Realizar y editar contenidos visuales para campañas acciones de marca etc. tanto online como offline (banners emailing brochure etc.).Crear contenidos para redes sociales creatividades para nuestra web.Capacidad de elaborar propuestas creativas de diseño web y de rediseño para los proyectos existentes como el diseño de aplicaciones landings y brochures.Edición básica de videos con herramientas como Filmora o Adobe Premier o similares. Cortar Pegar agregar logotipos cambiar audios del video agregar fondos musicales edición de audio y video.Aptitudes y conocimientos:El manejo fluido del paquete Adobe CC: Photoshop Illustrator After Effects...Sensibilidad por la estética y el detalle. Perfil multidisciplinar con conocimientos sólidos de usabilidad web y un buen gusto gráfico para generar soluciones visuales usables y atractivas a nivel online y offline.","Educación mínima: Universidad / Carrera técnica
Años de experiencia: 2
Idiomas: Español 
Edad: entre 14 y 29 años
Conocimientos: PHP Adobe Ilustrator Adobe Photoshop Edición de sonido Edición de vídeo Diseño HTML 5 Adobe InDesign Adobe After Effects Adobe Premier
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","$ 1.600.00000 (Mensual) ·                                                   Armenia                          Quindio ·                          Ayer 05:01 a. m. (actualizada)","Contrato a término fijo","Desde casa                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-en-bucaramanga-67608DDEA1581D7B61373E686DCF3405","Diseñador Grafico","Empresa comercial requiere Diseñador Grafico con mínimo 3 años de experiencia laboral continua y certificable con las siguientes características:Conocimientos en marketing estratégico digital  manejo de campañas SEO/SEM  Diseño gráfico publicitario manejo de software de diseño  experiencia certificable en manejo de paginas web. Experiencia pautando en Google Adds y de medición en Google Analytics experiencia en creación de vídeosInteresados que cumplan con el perfil aplicar a la oferta por este medio.","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 3
Edad: entre 25 y 40 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","Bucaramanga                          Santander ·                          Ayer 04:45 a. m. (actualizada)","Contrato a término indefinido","Tiempo Completo","3"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ing-de-soporte-comercial-tecnico-ing-biomedico-ventas-sector-salud-en-bogota-dc-3D6C1BEDB4A566F061373E686DCF3405","Ing de Soporte Comercial  Técnico. - Ing Biomedico ventas sector salud","Cumplir el presupuesto anual de ventas  identificando oportunidades de nuevos clientes y  logrando la fidelización de los clientes mediante el cumplimiento de sus requisitos además del acompañamiento y seguimiento permanente a los clientes Mejorar el posicionamiento de la marca en la promoción distribución y venta de los productos y servicios. Trabajo en equipo comunicación disposición auto gestión y pro positivo capacidad de negociación y retención de clientes capacidad analítica de efectividad de ventas solución de problemas  y toma de decisiones-  $2.500.000= mas prestaciones de ley- comisiones por ventas del 3 al 5% sobre recaudo pago Quincenal + comisiones del periodo  - gastos de representación - viajes.","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 2
Edad: entre 28 y 35 años
Conocimientos: CRM
Disponibilidad de viajar: Si
Disponibilidad de cambio de residencia: No","TECNO DISEÑO S.A.S.","$ 2.500.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          Ayer 04:14 a. m. (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-multimedial-medellin-en-medellin-052EDC030356BA5761373E686DCF3405","Diseñador Multimedial - Medellin","Diseñador MultimedialPerfil:  tecnico y/o tecnologo en producción multimedia diseño gráfico o realizador audiovisual.Debe estar en la capacidad de producir contenido en volúmenes altos principalmente generando piezas para publicidad demos infografías etc en diferentes formatos como vídeo gif ilustraciones y animaciones.Conocimientos indispensables: creación de contenido Motion GraphicsPre pro y post producción de vídeosexperiencia indispensable en Photoshop llustrator After Effects Premierecinema 4dindesing Audacity y Adobe Audition creación de contenidos animadosproducciónedición de vídeos y fotografíaDebe tener portafolioExperiencia en manejo graficoAños de experiencia: 2Si eres diseñador@ gráfico digital o multimedia te apasiona crear y te gusta diseñar y producir vídeos en la web redes sociales blogs o cualquier otro medio; únete a nuestro equipo humano y sé parte de nuestro equipo creativo.Persona que valora los productos audiovisuales como un elemento potente de comunicación.Debe ser una persona organizada metódica cumplida exigente consigo mismo que cuida los detalles.Persona Proactiva Creativa Ágil y Comprometida con las entregas.","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 3
Idiomas: Español 
Edad: entre 25 y 30 años
Conocimientos: Adobe Ilustrator Adobe Photoshop Microsoft Excel Adobe InDesign Adobe After Effects
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","$ 1.300.00000 (Mensual) ·                                                   Medellín                          Antioquia ·                          Ayer 04:04 a. m. (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","3"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-grafico-preferiblemente-creador-de-marcas-en-cali-A66909BC312B814161373E686DCF3405","Diseñador/a gráfico - preferiblemente creador de marcas","Conocimientos de la  Suite de Adobe planeación en Pre prensa Impresión Digital. Con experiencia en Piezas Gráficas mínima 2 años tener excelentes relaciones interpersonales - VEHÍCULO PROPIO","Educación mínima: Universidad / Carrera técnica
Años de experiencia: 2
Edad: entre 20 y 35 años
Licencias de conducir: A1 A2 B1 B2 B3 C1 C2 C3 
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Flingglass S.A.S","$ 1.000.00000 (Mensual) ·                                                   Cali                          Valle del Cauca ·                          11 julio","Contrato a término indefinido","Tiempo Completo                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-profesional-diseno-grafico-5-anos-de-experiencia-en-bogota-dc-CC8678F0BDC99D3761373E686DCF3405","Community Manager profesional Diseño grafico - 5 años de experiencia","Importante compañía requiere para su equipo de trabajo personal para laborar como Community Manager profesional en diseño GraficoConocimientos específicos en desarrollo de estrategias para redes sociales y posicionamiento de marca en canales digitales desarrollo de piezas gráficas y contenidos digitales para las marcas propias de la compañíaExperiencia de 5 años en el áreaHorarios: Lunes a viernes y sábados según programaciónSalario: 1.200.000 a 1.500.000","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 5
Edad: entre 25 y 35 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Alianza Temporal S.A.S","$ 1.400.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          11 julio","Contrato de Obra o labor","Tiempo Completo                                ","5"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-profesional-diseno-grafico-5-anos-de-experiencia-en-bogota-dc-B1187449D31FCEB761373E686DCF3405","Community Manager profesional Diseño grafico - 5 años de experiencia","Importante compañía requiere para su equipo de trabajo personal para laborar como Community Manager profesional en diseño GraficoConocimientos específicos en desarrollo de estrategias para redes sociales y posicionamiento de marca en canales digitales desarrollo de piezas gráficas y contenidos digitales para las marcas propias de la compañíaExperiencia de 5 años en el áreaHorarios: Lunes a viernes y sábados según programaciónSalario: 1.200.000 a 1.500.000","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 5
Edad: entre 25 y 35 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Alianza Temporal S.A.S","$ 1.400.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          11 julio","Contrato de Obra o labor","Tiempo Completo                                ","5"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-experiencia-en-diseno-de-publicaciones-editoriales-en-bogota-dc-3729E67B7088596361373E686DCF3405","Diseñador gráfico experiencia en diseño de publicaciones editoriales","Importante empresa de sector requiere de manera urgente Profesional en diseño grafico. Experiencia mínima de  2 años en diseño de publicaciones editoriales con buen manejo de tipografía color edición de fotografía y composición gráfica en general.Salario 2.800.000+prestaciones socialesHorario:oficinaANEXAR HOJA DE VIDA CON FUNCIONES  Y CON EXPERIENCIAS REQUERIDAS","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 2
Edad: entre 19 y 45 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","SUMMAR TEMPORALES SAS","$ 2.800.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          11 julio (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","2"
