"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-en-palermo-C6550D6CD2D0F96161373E686DCF3405","Analista de marketing digital","Importante Empresa comercializadora de servicios como publicidad atención al cliente entre otros se encuentra en la búsqueda de: Analista de Marketing digital.Requisitos:-Estudiantes o recibidos de Marketing Comercialización Publicidad Comunicación o afines con conocimientos y habilidades en Marketing Digital email Marketing y su entorno. -Excelente manejo de paquete officeEsta persona tendrá entre sus responsabilidades: *Potenciar el E-commerce y las plataformas digitales*Planificación estratégica y Gestión de plataforma E-Commerce*Planificación estratégica y Gestión de redes sociales*Creación diseño de publicaciones y campañas análisis y respuestas*Gestión del proceso de venta online*Análisis de mercado y de la competencia*Fuerte conocimiento en SEO SEM adwords E-mail marketing*Generación de reportesBuscamos un perfil dinámico proactivo y autogestivo. Orientado al cliente y a la venta con capacidad de planificar ejecutar y controlar.Jornada laboral: Full time.Lugar de trabajo: Home Office a mediano plazo deberá ir 1 ó 2 veces por semana a la oficina para tener reuniones.","Educación mínima: Secundaria
Años de experiencia: 2
Edad: entre 25 y 35 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","BN CONSULTORIA RH","Palermo                          Capital Federal ·                          Hoy 10:10 a. m.","Contrato por tiempo indeterminado","Desde casa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-responsable-de-marketing-digital-en-salta-FEF3DD0DA2ED129761373E686DCF3405","Responsable de Marketing Digital","El profesional será responsable de aportar estrategias de marketing efectivas para optimizar el posicionamiento de la Consultora.Tendrá las siguientes funciones:• Crear contenidos digitales en diversos formatos: artículos vídeos fotos ebooks guías webinars etc. Este contenido será usado posteriormente en diversas estrategias: publicitarias posicionamiento (SEO) de la web imagen de marca promoción y apoyo a eventos etc.• Diseñar acciones dirigidas a aumentar la visibilidad de la marca en medios online y offline y en la mejora de su imagen frente a los usuarios (Branding).• Gestionar los perfiles de la compañía en las redes sociales y su uso en las estrategias de contenidos (Social Media).• Realizar seguimiento de las principales acciones y estrategias de la competencia en el ámbito del marketing digital.• Identificar potenciales clientesNos orientamos a un profesional:o Con conocimientos avanzados en las herramientas digitales más novedosas para la gestión de contenidos en webs blogs y redes sociales análisis web optimización SEO búsqueda de palabras clave etc.o Con perfil creativo y activo en la generación de propuestas; con capacidad de análisis y autogestión.o Capaz de llevar a la práctica con eficacia y en los plazos previstos las distintas acciones e interrelacionarlas para lograr los objetivos de marketing de la compañía.o Que sepa trabajar con flexibilidad y espíritu crítico para poder detectar posibles errores o áreas de mejora en las estrategias definidas y proponer y poner en marcha las correcciones necesarias.","Educación mínima: Universitario
Años de experiencia: 3
Edad: A partir de 28 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","Salta                          Salta ·                          Hoy 05:14 a. m. (actualizada)","otro tipo de contrato","Jornada partida","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-importante-empresa-de-software-en-cordoba-0156D577DB802DEB61373E686DCF3405","Analista de Marketing Digital - Importante Empresa de Software","Descripción del puesto:Diseñar planificar y desarrollar campañas de marketing para fidelización y captación de clientes potenciales en medios digitales.Generar contenidos digitalesProducción de reportes y lectura de métricas.Conocimientos requeridos en:Redacción creativa y producción de contenidos.Google Ads Facebook Ads Google Anlytics ROAs SEM SEO GDN Social Media y email marketingManejo de Facebook Instagram LinkedinManejo de herramientas de diseño gráfico y videos (no excluyente)Egresados o estudiantes avanzados de las carreras de Comunicación Marketing o Publicidad","Educación mínima: Terciario
Años de experiencia: 3
Edad: entre 20 y 30 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","CONSULTORA IT","Cordoba                          Córdoba ·                          Hoy 04:14 a. m. (actualizada)","otro tipo de contrato","Jornada reducida","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-responsable-de-marketing-digital-y-ventas-online-en-vicente-lopez-FB186FB28CD80CD061373E686DCF3405","Responsable de Marketing Digital y Ventas Online","SE BUSCA RESPONSABLE DEL ÁREA DE MARKETING DIGITAL Y VENTAS ONLINE PARA EMPRESA DEL RUBRO CONSTRUCCIÓN.SUS RESPONSABILIDADES PRINCIPALES SERÁN:-	LA CREACIÓN DE CAMPAÑAS PUBLICITARIAS EN LAS DIFERENTES PLATAFORMAS DIGITALES (MEDIOS SOCIALES GOOGLE ETC.).-	LA SUPERVISIÓN DE LAS CAMPAÑAS ANÁLISIS DE MÉTRICAS RENDIMIENTO Y OPTIMIZACIÓN DE LAS MISMAS.-	LA PROMOCIÓN DE PRODUCTOS MEDIANTE LA PRODUCCIÓN DE VIDEOS Y FOTOS EN EL LOCAL.-	LA GESTIÓN Y ADMINISTRACIÓN DE LAS VENTAS ONLINE EN LAS DISTINTAS PLATAFORMAS (SITIO WEB TIENDA ONLINE MERCADO LIBRE).-	ACTUALIZACIÓN DE MATERIAL DE LOS PRODUCTOS EN TODAS LAS PLATAFORMAS DE VENTA (PRODUCTOS PRECIOS FOTOS ETC.)-	LA DETECCIÓN DE OPORTUNIDADES DE VENTA EN EL MERCADO.-	ATENCIÓN AL CLIENTE PRESENCIAL Y TELEFÓNICA.","Educación mínima: Secundaria
Años de experiencia: 1
Idiomas: Inglés 
Conocimientos: Microsoft Excel Microsoft Word Autoconfianza Capacidad de decisión Creatividad Diseño Gestión de ventas Servicio al cliente Redes Sociales Gestión de inventarios Mercadeo
Licencias de conducir: B1 
Disponibilidad de Viajar: Si
Disponibilidad de cambio de residencia: No","N/D","Vicente López                          Buenos Aires-GBA ·                          Hoy 04:14 a. m. (actualizada)","Contrato por tiempo indeterminado","Jornada completa","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-en-marketing-digital-en-cordoba-720206C377C39B7B61373E686DCF3405","Especialista en Marketing Digital","Nos encontramos en la búsqueda de un especialista en Marketing Digital para incorporar a importante empresa en Córdoba.Orientamos la búsqueda a personas con un perfil proactivo dinámico autónomo con grandes capacidades comunicativas e interpersonales. Debe ser una persona resolutiva con orientación a los resultados.Tareas a desarrollar:•	Evaluación y desarrollo de la estrategia de marketing y el plan de marketing.•	Investigación de la demanda de los productos y servicios de la empresa.•	Investigación de la competencia.•	Identificación de clientes potenciales.•	Desarrollo de promociones con gestores publicitarios.•	Comprensión y desarrollo de presupuestos y finanzas incluidos gastos créditos para investigación y desarrollo retornos de inversión y proyecciones de pérdidas y ganancias.•	Coordinación de proyectos de marketing.•	Organización de eventos.•	Supervisión de la estrategia de marketing en redes sociales y marketing de contenidos.Requisitos:Sexo: masculinoEdad: 30-35 añosProfesión: Comunicación marketing administración afinesExperiencia comprobable en Marketing Digital e-commerce Market Place (excluyente)Disponibilidad para trabajar de lunes a viernes de 9 a 18 hsDisponibilidad para viajar","Educación mínima: Universitario
Años de experiencia: 2
Edad: entre 30 y 35 años
Disponibilidad de Viajar: Si
Disponibilidad de cambio de residencia: No","Poncio S.A.","Cordoba                          Córdoba ·                          Hoy 04:04 a. m. (actualizada)","otro tipo de contrato","Jornada completa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-en-san-miguel-de-tucuman-28BC45561BCD1B6261373E686DCF3405","Analista de Marketing Digital","¡Nos encontramos en la búsqueda de un diseñador gráfico Part Time!Si estudiaste diseño gráfico o diseño multimedial y te interesa un nuevo desafío ¡Postulate! Por favor leer el aviso con detenimiento en caso de no cumplir con los requisitos mencionado a continuación te solicitamos no te postules ya que son necesarios para cubrir este puesto.•Requisitos:1. Conocimientos: manejo de los siguientes software/redes/plataformas:•	Adobe•	Illustrator (excluyente) •	Photoshop (excluyente)•	XD (web)  (no excluyente)•	After Effects  (excluyente)•	Premier (no excluyente)•	Corel Draw (excluyente)Manejo de comunicación de Redes Sociales (excluyente)•	Facebook•	Instagram•	Whatsapp•	Mailing•	Google2. Competencias:-Comunicación-Trabajo en equipo-Vocación de servicio-Atención al detalle-Orientación al logro-Adaptación al cambio-Capacidad de Gestión-Iniciativa•Tus funciones principales serán:- Asegurar la transmisión de la imagen corporativa de la organización a través de la creación actualización y manutención de la imagen publicitaria.-Realización de videos publicitarios (redes sociales) -Diseño editorial-Creación de piezas digitales e impresas publicitarias look and feel y propuestas gráficas atractivas apoyo en funciones básicas de desarrollo de elementos impresos y componentes para la página web.•Condiciones del puesto: de lunes a viernes de 8:30 a 13:00 hs.•Salario: a convenir.","Educación mínima: Terciario
Años de experiencia: 1
Edad: entre 20 y 35 años
Conocimientos: Adobe Ilustrator Adobe Photoshop CorelDraw Adobe After Effects Adobe Premier
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","San Miguel de Tucumán                          Tucumán ·                          Hoy 04:03 a. m. (actualizada)","Contrato por tiempo indeterminado","Jornada partida","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-en-marketing-digital-en-neuquen-47747F6940D5D6B861373E686DCF3405","Analista en Marketing Digital","¿Sos un apasionado-a del mundo digital las nuevas tecnologías las redes sociales y posicionamiento de marca? Esta propuesta te puede interesar!En Randstad nos moviliza ayudar a las personas y a las organizaciones a desarrollar todo su potencial. Ese es el compromiso que asumimos como compañía en todo el mundo un compromiso que nos impulsa a ir más allá para lograr que nuestros clientes y candidatos alcancen el éxito. ¿Cómo lo hacemos? combinando nuestra pasión por las personas con el poder de la tecnología creando experiencias más humanas que nos permitan ser una fuente de inspiración y apoyo para quienes nos eligen. Porque estamos convencidos de que mejores personas hacen mejores empresas.Nos encontramos en la búsqueda de un-a Especialista de Marketing DigitalNos orientamos a: - Estudiantes avanzados/ recién recibidos o ya con experiencia de las carreras de Marketing Comercialización o afines.Algunos de tus aportes serán:- Velar por el buen funcionamiento y los resultados de la tienda OnLine- Optimizar su diseño funcionalidad y estética- Idear estrategias de precios posicionamiento en la mente del consumidor- Buscar canales de comercialización alternativos y complementarios al principal- Realizar propuestas de estrategias utilizando el sitio web social media y canales de Marketing OnLine para incrementar las ventas y mostrar la marcaResponsabilidades enfocadas en: - Estrategia de captación del público- Gestión del funnel y estrategias de fidelizaciónSe valorarán aquellas habilidades tales como: - Comunicación fluida redacción de fácil lectura- Capacidad de resolución de problemas / inquietudes- Nivel de escritura elevada con amplio vocabulario- Estabilidad emocional al tratar situaciones de conflicto- Compromiso con la marca- Pasión o atracción por las redes sociales- Y sobre todo una mente creativa!Si consideras que reunís los requisitos para el puesto y te gustan los desafíos no lo dudes ¡Envíanos tu CV!","Educación mínima: Secundaria
Años de experiencia: 1
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Randstad Argentina","Neuquen                          Neuquén ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-digital-marketing-senior-director-agencia-multinacional-de-mkt-en-retiro-9CAFE275B6B1F06961373E686DCF3405","Digital Marketing Senior Director - Agencia multinacional de Mkt","CONA Consultores se encuentra en la búsqueda de un profesional en Marketing o carreras afines con experiencia en liderazgo de equipos de redes sociales MDL sitio web MKT motor de búsqueda MKT medios digitales y BI digital. Se sumará al equipo de una desafiante compañía multinacional en proceso de expansión con oficinas ubicadas en Retiro.  Liderará la creación del plan de campaña digital y la gestión de todo el equipo digital por lo que se apunta a una comprensión profunda y enfoque estratégico por parte de los principales medios digitales y equipos BI con el análisis del resultado de la campaña (conciencia y rendimiento KPI)y mantendrá una comunicación estrecha con el cliente.  Requisitos del puesto: -Experiencia de 5/7 años o más trabajando en marketing digital-Experiencia en trabajar en las 10 principales agencias de publicidad o agencias de marketing digital-Comprensión y experiencia real de liderar los equipos de: redes sociales MDL sitio web MKT motor de búsqueda MKT medios digitales BI digital.-Graduación en el área de marketing o experiencia similar en otros empleos.-Experiencia comprobable en campañas de diversos medios (blogs redes sociales etc.)-Ser un experto en los conceptos y estrategias del Marketing de Contenidos entendiendo a fondo la optimización y las etapas del embudo de marketing.-Tener experiencia en roles de liderazgo; siendo capaz de gestionar e inspirar a un equipo diverso.-Tener la capacidad de interpretar datos usando esa información para optimizar el trabajo del equipo de marketing.-Certificación en marketing de contenidos.-Dominar herramientas de gestión de proyectos para hacer que todas las campañas sean entregadas en el plazo con calidad garantizada y sin retrasos.-Inglés avanzado  Tareas generales:   - Liderar la estrategia de campaña digital y la planificación de campañas.-Medir analizar y reportar el funcionamiento de todos los esfuerzos del área.-Manejar el presupuesto del área y monitorear las inversiones.-Llevar a cabo actividades para generar leads.-Optimizar y monitorear el manejo del sitio y los canales digitales para conseguir prospectos.-Analizar datos mostrar informes resultados y hacer optimizaciones basadas en los datos levantados. Modalidad de contratación: -Contrato directo con nuestro cliente. -Jornada fulltime: lunes a viernes 9 a 18 hs.- Lugar de trabajo: Retiro","Educación mínima: Universitario
Años de experiencia: 5
Idiomas: Inglés 
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Cona Consultores SRL","Retiro                          Capital Federal ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-en-parque-patricios-4EB4E9E39CB442F061373E686DCF3405","Analista de Marketing Digital","Importante empresa Multinacional de Servicios busca incorporar a su equipo de colaboradores un Analista de Marketing Digital. Quien ocupe la posición estará reportando al Jefe del área y será responsable de la planificación ejecución seguimiento y análisis de las campañas digitales de la empresa identificando mejoras y elaborando informes relacionados con el fin de alcanzar los objetivos del área propuestos. Se requiere contar con conocimientos en la posición sólido manejo de RRSS formación en: Marketing Comercialización o demás carreras afines una marcada capacidad analítica y flexibilidad para poder entablar relación con múltiples interlocutores tanto internos como externos. La empresa ofrece una posición desafiante contratación directa sueldo acorde y beneficios de empresa. Aquellos interesados deberán indicar sueldo pretendido contar con referencias académicas y laborales afines.","Educación mínima: Universitario
Años de experiencia: 2
Idiomas: Inglés 
Edad: A partir de 22 años
Conocimientos: Microsoft Excel Microsoft Outlook Microsoft PowerPoint Microsoft Word Márketing estratégico Resolución de problemas Servicio al cliente Redes Sociales
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","Parque Patricios                          Capital Federal ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-en-marketing-digital-gran-empresa-de-equipamiento-tecnologia-y-games-en-cordoba-46925BADF97D976D61373E686DCF3405","Especialista en Marketing Digital - gran empresa de equipamiento tecnología y games","Nos encontramos en la búsqueda de un Especialista en Marketing Digital para importante empresa de equipamiento de nivel internacional. Deberá contar con al menos 4 años de experiencia en funciones similares en empresas de mediana y gran envergadura. Trabajará en forma interdisciplinaria con otros equipos de trabajo con el propósito de potenciar la marca.Se busca un profesional predispuesto activo creativo y con capacidad de pensamiento global.La persona que ocupe la posición tendrá la tarea de generar conciencia de marca demanda y optimizar el embudo del marketing. Logrará esto utilizando estrategias de inbound marketing como la optimización para los motores de búsqueda redes sociales pruebas de conversión en páginas de destino publicidad online e email marketing.Sus principales responsabilidades serán:•	Establecer una estrategia de equipo mediante el análisis de la información de los antecedentes de nuestro marketing.•	Tener una relación con el equipo de ventas y forjar un buen acuerdo de nivel de servicios (ANS) y de comunicación entre las áreas de marketing y ventas.•	Crear pronósticos presentarlos ante los ejecutivos y ayudar al CMO (director de marketing) a lograr un éxito mayor con el marketing.•	Análisis de status de marca y página web.•	Análisis de objetivos SMART y KPIS•	Optimización de página web•	Estrategia de Contenidos tono y personalidad de marca.•	Segmentación de target y análisis de audiencia.•	Apertura y gestión de canales de comunicación online.•	Presencia y posicionamiento digital en Redes Sociales SEO y SEM.  •	Uso de Google Analytics Google Ads Facebook Ads•	Instagram Ads. E-mail marketing.•	Análisis de métricas y performance.•	Instalación de códigos de seguimiento vía Google Tag Manager: Google Analytics Search Console Facebook Píxel etcRequisitos:•	Estudios universitarios afines y/o experiencia laboral equivalente de al menos 4 años.•	Demostrar y comprobar que es experto en marketing digital que cuenta con experiencia en generación de campañas optimización de keywords en análisis de público target y buyer persona.•	Experiencia y/o conocimiento en el rubro electrónica de consumo.•	Capacidad analítica y de extracción del significado de la información y usarlo para optimizar la estrategia del equipo y los pronósticos para la empresa.También se valorará:•	Conocimientos básicos en Wordpress (para implementación de tracking)•	Campañas de Re-marketing•	Certificado Facebook Blueprint o Google Ads•	Conocimientos básicos en diseño gráfico y/o tendencias estéticasLugar de trabajo: excelentes oficinas en Zona Sur de Córdoba CapitalSe ofrecen muy buenas condiciones de contratación excelente clima laboral.","Educación mínima: Universitario
Años de experiencia: 4
Idiomas: Inglés 
Edad: entre 27 y 35 años
Conocimientos: Microsoft Office
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","DoctasRH","Cordoba                          Córdoba ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","4"
