"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-tecnologia-informatica-ciudad-de-cordoba-en-cordoba-BDDF2D0D9E010CA461373E686DCF3405","Supervisor Tecnología Informática - Ciudad de Córdoba","Reportando al Gerente de Tecnología coordinará las políticas generales en materia de tecnología de la información que permita a la entidad alcanzar la madurez en el uso y aprovechamiento de los recursos informáticos asegurando su optimización y perfomance.Su desempeño se centrará en:·       Garantizar alta disponibilidad de la infraestructura tecnológica.·       Lograr optimizar el uso de las comunicaciones·       Obtener seguridad en el ambiente Lan y Wan·       Cumplir con los objetivos del área·       Eficientizar del desempeño de sus reportes internos o servicios tercerizados.Para ello será responsable por mantener y administrar la Red Lan y WAN servidores físicos y virtualizados administrar backups mantener los servicios de correo electrónico controlar la seguridad de consultas por Internet administrar consola de antivirus Panda proponer y coordinar cambios para mejorar la explotación del sistema y las aplicaciones de la empresa y analizar nuevas tecnologías.Postularse indicando remuneración pretendida.","Educación mínima: Terciario
Años de experiencia: 2
Idiomas: Inglés 
Edad: entre 28 y 55 años
Disponibilidad de Viajar: Si
Disponibilidad de cambio de residencia: No","Andrea Linardi","$ 80.00000 (Neto mensual) ·                                                   Cordoba                          Córdoba ·                          Hoy 12:31 p. m. (actualizada)","Contrato por tiempo indeterminado","Jornada completa                                ","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-vendedores-para-importante-empresa-de-tecnologia-zona-cordoba-en-alta-gracia-9B98CF0E3A55E04461373E686DCF3405","Vendedores para importante empresa de tecnología - Zona Córdoba","Seleccionaremos Vendedores que les interese recorrer locales para reconocida empresa de tecnología dedicada a la compra/venta para las siguientes Localidades: Alta Gracia Carlos Paz Rio Cuarto Rio Tercero  Villa Maria Sus responsabilidades serán: -Visitar distintos PDV a través de un ruteo diario ofreciendo el producto de la empresa explicando sus beneficios con el fin de captar nuevos clientes el trabajo es netamente en la calle.-Tratar de captar oportunidades tanto mayoristas como minoristas.-Mantener trato constante con comerciantes brindando soporte en cuanto a dudas y pedidos fidelización de los mismos. -Organización de la exhibición de todo lo que tenga que ver con la marca. -Colocación de material POP en distintos puntos de venta.-Reporte de ventas diario.Requisitos: -Experiencia en ventas principalmente recorriendo locales.-Capacidad de negociación.-Buenas relaciones interpersonales compromiso.-Excelente presencia y dicción.Horario laboral: Lunes a Viernes de 9 a 18hs. Sábados de 9 a 13hsSueldo bajo convenio de comercio+incentivos.","Educación mínima: Secundaria
Años de experiencia: 2
Edad: entre 20 y 35 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Solvens Servicios Especializados","$ 37.00000 (Neto mensual) ·                                                   Alta Gracia                          Córdoba ·                          Hoy 04:04 a. m. (actualizada)","otro tipo de contrato","Jornada completa                                ","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-dba-oracle-ssr-p-empresa-de-tecnologia-e-informatica-en-parque-patricios-65FAC7460EDE838861373E686DCF3405","DBA Oracle Ssr. - (p/ empresa de Tecnología e Informática)","SOLUTIX está en búsqueda de DBA Oracle Ssr. para trabajar en relación de dependencia directa con importante Empresa de Tecnología e Informática.(inicialmente se trabajará remoto hasta que pase la cuarentena)Requisitos:   -  Experiencia como DBA Oracle 19c. (administración configuración tunning etc)   -  Manejo de grandes Volúmenes de Información.   -  Conocimientos de Metodologías Ágiles.   -  Proactividad trabajo en equipo toma de decisiones. Beneficios:Medicina prepaga Home Working (2 días a la semana) crecimiento profesional excelente ámbito de trabajo ajustes salariales etc.Lugar de trabajo: Parque Patricios.De lunes a viernes de 9 a 18 hs.","Educación mínima: Terciario
Años de experiencia: 3
Conocimientos: Oracle
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Solutix S.A. - [Soluciones de Recursos en TI]","Parque Patricios                          Capital Federal ·                          11 julio (actualizada)","otro tipo de contrato","Jornada completa","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-crm-dynamics-jr-parque-patricios-en-retiro-3939F33A5794B9E261373E686DCF3405","Desarrollador CRM Dynamics Jr. - Parque Patricios","¡Hola! En RH+ Tecnología contamos con una nueva oportunidad para ocupar una vacante como Desarrollador CRM Dynamics Jr. para una importante empresa financiera ubicada en Parque Patricios.¿Cuál es el perfil buscado para el puesto?El perfil que buscamos debe contar con al menos 1 año de experiencia realizando desarrollos en CRM Dynamics.¿Que nos diferencia como consultora?Nuestra intención es acompañar a nuestro empleado en el camino laboral priorizando su desarrollo y su cuidado dentro de nuestro cliente. Ayudando a que pueda tener un equilibrio entre la vida laboral y personal. Entendemos al empleado como lo más importante que tenemos y por eso tenemos las herramientas necesarias para cuidarlo!¿Que te ofrecemos en RH+ Tecnología?• Prepaga primer nivel• Tarjeta de beneficios Club la Nación.• Escuela de Desarrollo de Potencialidades (espacio mensual de capacitación en herramientas blandas de comunicación  y liderazgo). • Asignación de un  Ontológico personal seguimiento personalizado de su trabajo.• Concurso Anual  RH (consta en acumular llaves por participación compromiso y membresía) que a fin de año se transforman en posibilidades de ganar un Crucero All Inclusive para 2 personas. • Eventos corporativos. • Premios en ocasiones especiales: ingreso cumpleaños paternidad/maternidad entre otros.• Convenio con banco de primer nivel.¡Esperamos tu postulación! ¡Muchas gracias!","Educación mínima: Terciario
Años de experiencia: 1
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","RH+Tecnología","Retiro                          Capital Federal ·                          11 julio (actualizada)","otro tipo de contrato","Jornada completa","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-funcional-sap-erp-4-meses-en-san-nicolas-7F4A8C6DDE472FD961373E686DCF3405","Analista Funcional SAP ERP - 4 Meses","¡Hola! En RH+ Tecnología contamos con una nueva oportunidad para ocupar una vacante como Analista Funcional de SAP ERP para una importante empresa financiera ubicada en Microcentro¿Cuál es el propósito de la vacante?Co-ayudará en el Analisis de las necesidades del usuario de SAP y del negocio que pueda mejorar la eficacia y eficiencia del sistema.¿Cuál es el perfil buscado para el puesto?-Experiencia de más de 3 años en analisis funcional de SAP.-Experiencia en proyectos de gran escala.-Es desable poseer experiencia bancaria - financiera.-Es excluyente la disponibilidad para tomar un proyecto de 4 meses con posibilidad de extensión.¿Que nos diferencia como consultora?Nuestra intención es acompañar a nuestro empleado en el camino laboral priorizando su desarrollo y su cuidado dentro de nuestro cliente. Ayudando a que pueda tener un equilibrio entre la vida laboral y personal. Entendemos al empleado como lo más importante que tenemos y por eso tenemos las herramientas necesarias para cuidarlo!¿Que te ofrecemos en RH+ Tecnología?• Prepaga primer nivel• Tarjeta de beneficios Club la Nación.• Escuela de Desarrollo de Potencialidades (espacio mensual de capacitación en herramientas blandas de comunicación  y liderazgo). • Asignación de un  Ontológico personal seguimiento personalizado de su trabajo.• Concurso Anual  RH (consta en acumular llaves por participación compromiso y membresía) que a fin de año se transforman en posibilidades de ganar un Crucero All Inclusive para 2 personas. • Eventos corporativos. • Premios en ocasiones especiales: ingreso cumpleaños paternidad/maternidad entre otros.• Convenio con banco de primer nivel.¡Esperamos tu postulación! ¡Muchas gracias!","Educación mínima: Terciario
Años de experiencia: 3
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","RH+Tecnología","$ 50.00000 (Neto mensual) ·                                                   San Nicolás                          Capital Federal ·                          11 julio (actualizada)","otro tipo de contrato","Jornada completa                                ","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-vendedores-para-importante-marca-de-tecnologia-zona-rosario-en-rosario-63C1518DDF666C0661373E686DCF3405","Vendedores para importante marca de tecnología - Zona Rosario","Nos encontramos en la búsqueda de vendedores en vía pública que les interese realizar ruteos para importante marca de Tecnología dedicada a la compra/venta. Requisitos: - Disponibilidad inmediata y full time- Sexo: Masculino. - Edad: entre 20 y 35 años. - Experiencia en ventas ( excluyente) - Excelente presencia y dicción. Serán sus principales tareas: - Recorrer locales ofreciendo productos de la marca y explicando sus beneficios. - Captar oportunidades tanto mayoristas como minoristas. Características de la posición: - Se trabaja en la calle recorriendo locales realizando ruteos. - Dias y hs: Lunes a viernes de 09 a 18 hs. Sábado de 09 a 13 hs - Contrato x 3 meses con idea de efectivizar según desempeño. - Sueldo bajo convenio de comercio + comisiones.","Educación mínima: Secundaria
Años de experiencia: 2
Edad: entre 20 y 35 años
Conocimientos: Ventas
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Solvens Servicios Especializados","$ 36.00000 (Neto mensual) ·                                                   Rosario                          Santa Fe ·                          10 julio (actualizada)","otro tipo de contrato","Jornada completa                                ","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-vendedores-para-reconocida-empresa-de-tecnologia-zona-caba-en-balvanera-4CDC88E2CB864EB461373E686DCF3405","Vendedores para reconocida empresa de tecnología - Zona CABA","Seleccionaremos Vendedores que les interese recorrer locales para reconocida empresa de tecnología dedicada a la compra/venta para diferentes zonas de Capital Federal.Sus responsabilidades serán: -Visitar distintos PDV a través de un ruteo diario ofreciendo el producto de la empresa explicando sus beneficios con el fin de captar nuevos clientes el trabajo es netamente en la calle.-Tratar de captar oportunidades tanto mayoristas como minoristas.-Mantener trato constante con comerciantes brindando soporte en cuanto a dudas y pedidos fidelización de los mismos brindar un servicio de postventa-Organización de la exhibición y material POP de todo lo que tenga que ver con la marca. -Implementación de servicios adicionales en distintos puntos de venta.-Reporte diario de ventas.Requisitos: -Experiencia en ventas principalmente recorriendo locales.-Capacidad de negociación.-Buenas relaciones interpersonales compromiso.-Excelente presencia y dicción.Horario laboral: Lunes a Viernes de 9 a 18hs. Sábados de 9 a 13hsSueldo fijo bajo convenio de comercio+incentivos.","Educación mínima: Secundaria
Años de experiencia: 3
Edad: entre 25 y 35 años
Conocimientos: Ventas
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Solvens Servicios Especializados","$ 36.00000 (Neto mensual) ·                                                   Balvanera                          Capital Federal ·                          10 julio (actualizada)","otro tipo de contrato","Jornada completa                                ","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-tecnico-plsql-coghlan-en-coghlan-F0D9E11D472B3DF161373E686DCF3405","Analista Tecnico PlSql - Coghlan","Hola! En estos momentos en RH+Tecnología contamos con una nueva propuesta laboral como Analista Técnico PLSQL para importante empresa líder ubicada en Coghlan.¿Que perfil buscamos?- Persona con más de 4 años de expeirencia en PLSQL- Con experiencia en UNIX/LINUX.- Experiencia Shell Scripting.- Es deseable que conozca la metodología DevOps¿Cuál es el propósito de la vacante?- Desarrollar y mantener los diferentes procesos del área Productos Digitales de la empresa. Ayudar a la coexistencia de todos los sistemas.Beneficios RH+ Tecnología:• Prepaga primer nivel• Tarjeta de beneficios Club la Nación.• Escuela de Desarrollo de Potencialidades (espacio mensual de capacitación en herramientas blandas de comunicación coaching y liderazgo). • Asignación de un Coach Ontológico personal seguimiento personalizado de su trabajo.• Concurso Anual Sistema RH (consta en acumular llaves por participación compromiso y membresía) que a fin de año se transforman en posibilidades de ganar un Crucero All Inclusive para 2 personas. • Eventos corporativos. • Premios en ocasiones especiales GiftCard: ingreso cumpleaños paternidad/maternidad entre otros.• Convenio con banco de primer nivel.¡Esperamos tu postulación! ¡Muchas gracias!","Educación mínima: Terciario
Años de experiencia: 3
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","RH+Tecnología","$ 80.00000 (Neto mensual) ·                                                   Coghlan                          Capital Federal ·                          10 julio (actualizada)","otro tipo de contrato","Jornada completa                                ","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-vendedores-para-importante-empresa-de-tecnologia-mar-del-plata-en-mar-del-plata-CC138E28F8BA186261373E686DCF3405","Vendedores para importante empresa de tecnología - Mar del Plata","Seleccionaremos Vendedores que les interese recorrer locales para reconocida empresa de tecnología dedicada a la compra/venta para la zona de Mar del Plata. Sus responsabilidades serán: -Visitar distintos PDV a través de un ruteo diario ofreciendo el producto de la empresa explicando sus beneficios con el fin de captar nuevos clientes el trabajo es netamente en la calle.-Tratar de captar oportunidades tanto mayoristas como minoristas.-Mantener trato constante con comerciantes brindando soporte en cuanto a dudas y pedidos fidelización de los mismos. -Organización de la exhibición de todo lo que tenga que ver con la marca. -Colocación de material POP en distintos puntos de venta.-Reporte de ventas diario.Requisitos: -Experiencia en ventas principalmente recorriendo locales venta en frío. -Capacidad de negociación.-Buenas relaciones interpersonales compromiso.-Excelente presencia y dicción.Horario laboral: Lunes a Viernes de 9 a 18hs. Sábados de 9 a 13hsSueldo bajo convenio de comercio+incentivos.Enviar en  CV con FOTO a *******.***@gmail.com","Educación mínima: Secundaria
Años de experiencia: 2
Edad: entre 20 y 30 años
Conocimientos: Ventas Asesoría comercial
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Solvens Servicios Especializados","$ 37.00000 (Neto mensual) ·                                                   Mar del Plata                          Buenos Aires ·                          10 julio (actualizada)","otro tipo de contrato","Jornada completa                                ","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-en-seguridad-de-la-informacion-analista-de-tecnologia-en-san-nicolas-A63221F71890553C61373E686DCF3405","especialista en seguridad de la información - analista de tecnologia","Buscamos personal para el puesto de analista en tecnología y seguridad informática. La búsqueda se encuentra centrada en cubrir un puesto que participará activamente en proyectos de seguridad informática y tecnología.La persona que ocupe esta posición brindará asesoramiento a clientes sobre tecnología y seguridad de la información.El trabajo se desarrollara en la zona de Microcentro (CABA) y Gran Buenos Aires (GBA).En relación a tus competencias técnicas es indispensable:- Uso y conocimientos herramientas de oficina (Office Navegadores etc.).- Sistemas Operativos- Bases de datos- Networking- Correo electrónico- Soluciones de seguridad informáticaEs indispensable:- Excelente trato con clientes y relaciones interpersonales.- Experiencia o conocimientos en seguridad informática. - Excelente comunicación oral y escrita. - Proactividad. - Gran capacidad de análisis. - Liderazgo e independencia. - Capacidad para trabajar en equipo. - Autonomía y compromiso.Requisitos deseables:- Gestión de proyectos.- Metodologías de evaluación de riesgos.Ofrecemos:- Oportunidad de capacitación dentro y fuera del horario laboral.- Trabajo en equipo.- Medicina prepaga.- Excelente clima laboral.No olvides tu carta de presentación y remuneración pretendida!!!","Educación mínima: Terciario
Años de experiencia: 1
Idiomas: Español Inglés 
Edad: entre 20 y 49 años
Conocimientos: Linux Windows SQL Server Networking
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","San Nicolás                          Capital Federal ·                          10 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","1"
