"URL","NOMBRE","DESCRIPCION"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-mercadeo-on-line-tecnico-marketing-digital-bogota-en-bogota-dc-6AF520CF67F316CC61373E686DCF3405","Mercadeo On Line - técnico marketing digital Bogota","Importante empresa solicita para su equipo de trabajo Mercadeo On Line  con los siguientes requisitos:*Técnica o tecnologo en marketing digital *Experiencia de 2 años recientes y certificadas  realizando  venta on line y manejo de clientes.  Apoyarias tambien recepción Horarios: lunes a viernes de 07:00 am a 05:00 pm sábado de 9:00am  a 12:00 pmSalario:877.803 + aux transporte, 3% comisión si cumple meta"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-mercadeo-on-line-tecnico-marketing-digital-bogota-en-bogota-dc-A4C3C830E952171E61373E686DCF3405","Mercadeo On Line - técnico marketing digital Bogota","Importante empresa solicita para su equipo de trabajo Mercadeo On Line  con los siguientes requisitos:*Técnica o tecnologo en marketing digital *Experiencia de 2 años recientes y certificadas  realizando  venta on line y manejo de clientes.  Apoyarias tambien recepción Horarios: lunes a viernes de 07:00 am a 05:00 pm sábado de 9:00am  a 12:00 pmSalario:877.803 + aux transporte, 3% comisión si cumple meta"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-lider-pre-prensa-e-impresion-digital-en-bogota-dc-B3F2EA435BD4E3E361373E686DCF3405","Líder Pre prensa e Impresión Digital","Profesional en Diseño gráfico o afines, con experiencia específica en el cargo de al menos cinco (5) años, Debe tener conocimiento en finalizado de archivos, ajuste de color, e impresión digital. Manejo de máquinas en gran formato y programas de diseño gráfico de suite adobe (ilustrator, corel draw,, photoshop). Persona muy organizada, creativa, líder. Jornada de lunes a sábado."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-imagen-y-marketing-digital-disenadora-grafico-en-medellin-F8F075B5862D6AA661373E686DCF3405","Líder de Imagen y Marketing Digital - Diseñador(a) Gráfico","En OilRed nos apasiona lo que hacemos, somos personas integras, proactivas, positivas, innovadoras, un súper equipo que ha aprendido que juntos logramos todo lo que nos proponemos.¿Quieres ser un Talento OilRed? ¿Te apasiona el diseño y el marketing digital?  Buscamos para nuestro equipo de trabajo Líder de Imagen y Marketing DigitalRequisitos: Profesional en diseño,  con conocimientos en : Administración de sitio web, e-commerce Gestión de redes sociales (programación,pauta, indicadores y estrategia)Programas de diseño (ai, photoshop)Edición de vídeosOferta laboralModalidad TeletrabajoSalario a ConvenirContrato a termino indefinido todas las prestaciones de ley.Horario: Lunes a viernes de 7:00am a 5:00pm Sabados de 8:00am a 12:00pm"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivoa-de-atencion-de-canales-digitales-en-bogota-dc-83E15287ACAAC8E461373E686DCF3405","Ejecutivo/a de Atención de Canales Digitales","Profesional en Comunicación Social, con excelente redacción, experiencia en servicio al cliente digital, empático(a), amable, multitasting, dominio de medios digitales y de comunicación en línea, manejo de indicadores de servicio, proactivo y en constante búsqueda de conocimiento.Funciones Basicas: 1: Responder chat de la pagina2: Hacer seguimiento de reclamaciones de la pagina web3: Dar una pequeña asesoria en productos y tamaños4: Dar respuesta a clientes en cuanto a tiempos de entrega5: Estar pendiente que los tiempos de entrega estipulados en la pagina se cumplan con cada orden.Oportunidad de crecimiento laboral."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-docente-diseno-digital-universitario-en-bogota-dc-6D620629104F6C6061373E686DCF3405","Docente diseño digital - Universitario","Institución de educación superior, requiere profesional con conocimientos en diseño, diseño digital y publicidad. Con experiencia en educación superior."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-sem-creacion-de-pautas-digitales-en-bogota-dc-ECCA99D28612F99D61373E686DCF3405","Analista SEM - Creación de pautas digitales","Importante empresa de la ciudad de Bogota requiere Analista SEM (Pauta digital Facebook, Google)Estudios: Profesional en Diseño Gráfico, publicidad, comunicación social o carreras afinesExperiencia en el cargo de 1 año en adelanteIndispensable: Tener experiencia comprobable en la creación de campañas de PERFORMANCE, experiencia comprobada en montaje, optimización y resultados en campañas digitales. Conocimientos requeridos: manejar Google Ads Manager, Google Analytics, Google Adwords, Facebook Bluprint, Linkedin, Plataformas de E-mailing, SMS y Whatsapp.Horario: Tiempo completo de lunes a viernes de 8:00 am a 6:00 pmLugar de trabajo: Home Office, con disponibilidad de asistir a dos reuniones semanales presenciales en las oficinasSalario: Entre $2´500.000 a $3´000.000 de acuerdo a experiencia + prestaciones de LeyTipo de Contratación: Contrato por obra o labor y con posibilidad de pasar a contrato a término indefinido por buen desempeño"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ilustradora-en-bello-2284DD4A4AF88F7D61373E686DCF3405","Ilustrador/a","En GMA Digital, requerimos ilustrador o diseñador gráfico con experiencia en ilustración infantil. Debe manejar Illustrator y Photoshop. Indispensable adjuntar portafolio.Eventualmente el empleado debe asistir presencialmente a la empresa, pero el resto del tiempo es desde casa."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-con-experiencia-ecommerce-diseno-digital-bogota-en-bogota-dc-ABFE59829976DA7061373E686DCF3405","Diseñador gráfico con experiencia E-Commerce/ Diseño digital /Bogotá","Importante empresa del sector comercial y te tecnología, requiere de manera urgente para su equipo  tecnologo o profesional en diseño gráfico  y/o áreas a fines con experiencia mínima y reciente de 2 años como diseñador Gráfico con énfasis web,  .com y e-commerce.Horario: Lunes a viernes , horario de oficinaSalario: $ $1.800.000 + prestaciones de ley + comisión"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-creativo-grafico-digital-agencia-en-cali-84410C607BA7D4B761373E686DCF3405","Creativo Gráfico Digital - Agencia","Agencia digital busca profesional en diseño gráfico con experiencia generando contenido en redes sociales para las marcas y afianzando la relación con sus comunidades.   COMPETENCIAS: El candidato debe tener facilidad para generar contenidos creativos, buena redacción y ortografía, línea gráfica impecable comprobable a través de su portafolio de trabajos realizados. Buen manejo de Adobe para diseño y la plataforma MAC.Plus deseable no obligatorio: Conocimientos en WordPress y edición de video.SI NO CUMPLE CON EL PERFIL POR FAVOR ABSTENGASE DE APLICAR."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-experto-en-mercadeo-digital-en-bogota-dc-C691E5280E9D838A61373E686DCF3405","Experto en Mercadeo Digital","Buscamos EXPERTO EN MERCADEO DIGITAL con experiencia comprobada en:-Google ads.-Google analytics.-Campañas de email. -Facebook ads. IMPORTANTE: Debe conocer y manejar plataformas como Segment, Amplitude, FullStory, Hubspot. Interesados enviar su HV incluyendo referencias comprobables de sus conocimientos. Por favor no aplique si no tiene los conocimientos necesarios."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-web-uiux-en-barranquilla-95ABE25BE2E7CDA361373E686DCF3405","Diseñador Web UIUX","Estamos buscando a los mejores diseñadores Web y diseñadores graficos para el equipo de diseño con habilidades y pasión por Páginas Web, CSS UI UX,  INDISPENSABLE enviar portafolio adjunto,  disponibilidad de tiempo inmediata. Buscamos super buena energía con buen gusto y valores. SU HOJA DE VIDA NO SERÁ TENIDA EN CUENTA SI NO ENVÍAN PORTAFOLIOINDISPENSABLE CONOCIMIENTOS EN WORDPRESS Y CSS o si es para grafico Adobe suite"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-marketing-estrategico-digital-en-bucaramanga-432FAACE74939DE861373E686DCF3405","Diseñador Gráfico - Marketing estratégico digital","Empresa comercial requiere Diseñador Gráfico, con mínimo 3 años de experiencia laboral continua y certificable con las siguientes características:Conocimientos en marketing estratégico digital , manejo de c1ampañas SEO/SEM , Diseño gráfico publicitario, manejo de software de diseño , experiencia certificable en manejo de páginas web. Experiencia pautando en Google Adds y de medición en Google Analytics, experiencia en creación de vídeosInteresados que cumplan con el perfil, aplicar a la oferta por este medio."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-digital-en-medellin-7990C9A832D7B4E061373E686DCF3405","Diseñador Gráfico Digital","Buscamos Diseñador Gráfico Digital proactivo, con buena energía, de 2 a 3 años de experiencia, manejo avanzado de la suite de Adobe, experiencia en manejo digital de marcas y diseño para redes sociales, excelente línea gráfica y nivel estético. Conocimientos requeridos:- Illustrator.- Photoshop.- Animaciones (After effects).- Comunicación digital.Habilidades personales:- Proactivo.- Autodidacta.- Buen trabajo en equipo.Experiencia: 2 a 3 añosRequisito: adjuntar portafolio"
