"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-marketing-digital-experiencia-en-pymes-en-bogota-dc-B4522DC919976A0A61373E686DCF3405","Especialista Marketing Digital / Experiencia en Pymes","Importante compañía de publicidad  y Mercadeo requiere para su equipo de trabajo Especialista Digital:Salario. $1.600.000 + Todas las prestacione de ley.Horario: Lunes a viernes 7:45 a 6:00 pm y el sábado medio día.Lugar de Trabajo: Cafam Floresta Centro Comercial Nivel de Estudios: Mercadólogo  Publicista (o carrera afín) . Estudios profesionales culminados y con soporte.Requisitos: EXPERIENCIA DE 1 AÑO EN: Conocimiento y manejo demostrable de Google Ads y Facebook Ads experiencia en asesoría de pymes Experiencia como planner de campañas digitales manejo de presupuestos inversiones etcLas personas interesadas y que cumplan con el perfil aplicar a la oferta para programar proceso de selección virtual.","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 1
Disponibilidad de viajar: Si
Disponibilidad de cambio de residencia: Si","Jiro S.A.","$ 1.600.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          Hoy 11:17 a. m.","Contrato de Obra o labor","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-o-tecnologo-marketing-digital-bogota-en-bogota-dc-D243000574307AF961373E686DCF3405","Técnico o tecnólogo marketing digital - Bogota","Importante empresa solicita para su equipo de trabajo Mercadeo On Line  con los siguientes requisitos:*Técnica o tecnologo en marketing digital *Experiencia de 2 años recientes y certificadas  realizando  venta on line y manejo de clientes.  Apoyarias tambien recepción Horarios: lunes a viernes de 07:00 am a 05:00 pm sábado de 9:00am  a 12:00 pmSalario:877.803 + aux transporte 3% comisión si cumple meta","Educación mínima: Universidad / Carrera técnica
Años de experiencia: 2
Edad: A partir de 18 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Redes Humanas","$ 877.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          Hoy 08:25 a. m.","Contrato de Obra o labor","Tiempo Completo                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-marketing-digital-exp-sector-retail-en-bogota-dc-4695AF65EA23CAA161373E686DCF3405","Coordinador Marketing Digital - Exp. sector Retail","Empresa del Sector Retail en Colombia requiere de Coordinador de Marketing Digital profesional en carreras de publicidad diseño gráfico y/o afines en mercadeo con mínimo 2 años de experiencia  (UNICAMENTE EN SECTOR RETAIL) en cargo similares realizando funciones de E- commerce administración de redes sociales y diseño y ejecución en páginas web entre otras. Los horarios son tipo oficina salario básico de 1.5 a 2.0 millones de pesos +  prestaciones de ley y contrato directo con la empresa a término indefinido.","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 2
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","$ 2.000.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          Hoy 08:16 a. m. (actualizada)","Contrato a término indefinido","Tiempo Completo                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-mercadeo-on-line-tecnico-o-tecnologo-marketing-digital-bogota-en-bogota-dc-17F77FDBA521800661373E686DCF3405","Mercadeo On Line - técnico o tecnólogo marketing digital Bogota","Importante empresa solicita para su equipo de trabajo Mercadeo On Line  con los siguientes requisitos:*Técnica o tecnologo en marketing digital *Experiencia de 2 años recientes y certificadas  realizando  venta on line y manejo de clientes.  Apoyarias tambien recepción Horarios: lunes a viernes de 07:00 am a 05:00 pm sábado de 9:00am  a 12:00 pmSalario:877.803 + aux transporte 3% comisión si cumple meta","Educación mínima: Universidad / Carrera técnica
Años de experiencia: 2
Edad: A partir de 18 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Redes Humanas","$ 877.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          Hoy 08:05 a. m.","Contrato de Obra o labor","Tiempo Completo                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-encargada-de-marketing-digital-en-cali-155D88CA57A3B04261373E686DCF3405","Encargada de marketing digital","Empresa cliente de nuestra temporal requiere para su equipo de trabajo una mujer con amplia habilidad experiencia y conocimientos en el área de mercadeo digital conocimiento de moda publicidad en redes sociales búsqueda de clientes y base de datos carisma buena atención al cliente y búsqueda de nuevos medios tecnológicos y digitales.","Educación mínima: Universidad / Carrera técnica
Edad: entre 23 y 30 años
Conocimientos: Marketing Publicidad Microsoft Office Internet
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","ESTRATEGIAS PERSONAL TEMPORAL SAS","Cali                          Valle del Cauca ·                          Hoy 05:11 a. m. (actualizada)","Contrato de Obra o labor","Tiempo Completo","N/D"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-marketing-digital-experiencia-en-pymes-en-bogota-dc-8877E017ED2A267461373E686DCF3405","Especialista Marketing Digital / Experiencia en Pymes","Importante compañía de publicidad  y Mercadeo requiere para su equipo de trabajo Especialista Digital:Salario. $1.600.000 + Todas las prestacione de ley.Horario: Lunes a viernes 7:45 a 6:00 pm y el sábado medio día.Lugar de Trabajo: Cafam Floresta Centro Comercial Nivel de Estudios: Mercadólogo  Publicista (o carrera afín) . Estudios profesionales culminados y con soporte.Requisitos: EXPERIENCIA DE 1 AÑO EN: Conocimiento y manejo demostrable de Google Ads y Facebook Ads experiencia en asesoría de pymes Experiencia como planner de campañas digitales manejo de presupuestos inversiones etcLas personas interesadas y que cumplan con el perfil aplicar a la oferta para programar proceso de selección virtual.","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 1
Disponibilidad de viajar: Si
Disponibilidad de cambio de residencia: Si","Jiro S.A.","$ 1.600.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          Hoy 04:04 a. m. (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-marketing-digital-zipaquira-en-zipaquira-8219FC66A4C0EE1461373E686DCF3405","Coordinador de Marketing digital - Zipaquira","Importante compañía de Alimentos se encuentra en la búsqueda de Coordinador de Marketing digital con experiencia mínima de 3 años certificada en el manejo de canales digitales para encargarse de la marca específica con conocimiento en consumo masivo ventas en línea encargada de las comunicaciones para publicidad en redes sociales seguimiento a clientes asesorías en mercadeo publicidad promocionar y publicar los diferentes servicios que brinda la compañía definir estrategias de comercialización diseño de campañas nuevas e innovación de producto seguimiento y acompañamiento a clientes Debe ser profesional en Publicidad Marketing digital y/o afines Horario de trabajo: De lunes a viernes de 8:00 a.m. a 5:30 p.m. y sábados de 8:00 a.m. a 12:30 p.m.Si cumple con el perfil envie su hoja de vida actualizada","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 3
Edad: entre 25 y 49 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","Zipaquirá                          Cundinamarca ·                          11 julio","Contrato de Obra o labor","Tiempo Completo","3"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-marketing-digital--hotel-revenue-manager-en-bogota-dc-C96C67EE1C18198561373E686DCF3405","Marketing Digital  - Hotel Revenue Manager","Estamos en la búsqueda de persona con experiencia en el manejo de ofertas y paridad de precios en OTA´s administración del channel manager y gestión del mercadeo digital para la oferta comercial en linea del hotel.La persona interesada debe tener experiencia comprobada con las extranet de las plataformas mas utilizadas en Colombia con channel managers y con algun paquete PMS.Remuneración: Entre 1600000 a 20000000 mensual.","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 2
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","TU TALENTO SAS","$ 2.000.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          11 julio","Contrato civil por prestación de servicios","Por Horas                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-marketing-digital-y-ventas-en-bogota-dc-F281A90BC7BF4F5861373E686DCF3405","Asistente de marketing  digital y ventas","Importante empresa requiere para su  equipo de trabajo ASISTENTE DE MARKETING DIGITAL Y VENTAS  con experiencia en marketing digital posicionamiento SEO orgánico y por google adwords manejo de redes sociales. Debe tener al menos 1 año de experiencia con resultados que puedan ser validados.FUNCIONES• Hacer fichas técnicas y promocionales para enviar por correo electrónico. Manejo deredes sociales.• Coordinar y participar activamente en la comunicación con los clientes (envío deInformación técnica comercial entre otras)• Apoyo en la elaboración de presentaciones comerciales• Trabajo con bases de datos actualizar bases de datos. Llamar a los clientes paraOfrecer los productos de la compañía. Venta telefónica• Tener todo el material publicitario catálogos material P.O.P y fichas técnicas y lodemás requerido en carpetas debidamente ordenadas de acuerdo con el catálogo de productos por segmento definido en la compañía. Salario 1.000.000","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 2
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","PERSOM S.A.S","$ 1.000.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          11 julio","Contrato de Obra o labor","Tiempo Completo                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-profesional-marketing-digital-en-bogota-dc-FD80F1720400510961373E686DCF3405","Profesional Marketing Digital","Profesional en marketing digital comunicación socialdiseño gráficopublicidad y mercadeo  o carreras a fines.Experiencia en manejo de redes sociales creación de piezas gráficas en función de generar contenido para redes sociales y pagina web. Experiencia certificada  en cargo de Community manager y diseñador gráfico.","Educación mínima: Universidad / Carrera Profesional
Años de experiencia: 3
Edad: entre 20 y 35 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","Bogotá D.C.                          Bogotá D.C. ·                          11 julio (actualizada)","Contrato a término indefinido","Tiempo Completo","3"
