"URL","NOMBRE","DESCRIPCION"
"https://ar.linkedin.com/jobs/view/analista-dise%C3%B1ador-de-datos-junior-at-dxc-technology-1930356569?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Analista Diseñador de datos Junior","Job DescriptionEl Data Integration Designer toma los requerimientos de integración de datos y los expresa como diseños de componentes de integración basados en patrones existentes y flujos de ejecución que puedan ser implementados por los desarrolladores en las herramientas de integración disponibles de acuerdo a estándares definidos por el cliente y aplicando la metodología de DXC.Responsabilidades Conocer y aplicar la metodología de diseño de DXC de acuerdo a los estándares y arquitectura del cliente. Analizar y definir procesos tareas flujos de datos dependencias y sus casos de prueba unitaria. Validar que los requerimientos de negocio sean correctos (completo consistente conciso y factible). Trabajar en conjunto con el analista de negocio y el analista de datos del cliente para resolver gaps entre cada requerimiento y el diseño de integración documentando las decisiones. Crear y mantener la definición del alcance del requerimiento desde el punto de vista del diseño de integración. Crear y mantener una bitácora de preguntas y respuestas para cada requerimiento. Ejecutar revisiones de diseño de integración. Participar en revisiones de modelos de datos. Construir consensos y lograr la aprobación por parte del cliente de los diseños entregados. Dar soporte a los desarrolladores sobre los diseños entregados de acuerdo al período de soporte establecido para la fase de diseño de integración. Ser proactivo claro y oportuno para identificar y comunicar issues relacionados con su tarea y el contexto en la que esta se ejecuta recomendando posibles soluciones. Hacer la transferencia de conocimiento al cliente sobre los diseños entregados. Dar soporte evolutivo y correctivo sobre los diseños entregados. Ejecutar las tareas de acuerdo a la planificación de demanda del cliente y los acuerdos generales y coyunturales alcanzados con el cliente. Sugerir mejoras a la metodología la planificación del trabajo y la formulación de requerimientos de integración. Buscar permanentemente oportunidades para mejorar la productividad de la fase de diseño de integración y la automatización de tareas.Requisitos 1-2 años de Experiencia en estructura de datos Experiencia en arquitectura orientada a servicios (SOA) Conocimiento plataforma tecnológica FICO Conocimientos en pruebas de Software Conocimientos de metodología AgileMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/analista-dise%C3%B1ador-ss-at-dxc-technology-1930354592?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Analista Diseñador SS","Job DescriptionEl Data Integration Designer toma los requerimientos de integración de datos y los expresa como diseños de componentes de integración basados en patrones existentes y flujos de ejecución que puedan ser implementados por los desarrolladores en las herramientas de integración disponibles de acuerdo a estándares definidos por el cliente y aplicando la metodología de DXC.Responsabilidades Conocer y aplicar la metodología de diseño de DXC de acuerdo a los estándares y arquitectura del cliente. Analizar y definir procesos tareas flujos de datos dependencias y sus casos de prueba unitaria. Validar que los requerimientos de negocio sean correctos (completo consistente conciso y factible). Trabajar en conjunto con el analista de negocio y el analista de datos del cliente para resolver gaps entre cada requerimiento y el diseño de integración documentando las decisiones. Crear y mantener la definición del alcance del requerimiento desde el punto de vista del diseño de integración. Crear y mantener una bitácora de preguntas y respuestas para cada requerimiento. Ejecutar revisiones de diseño de integración. Participar en revisiones de modelos de datos. Construir consensos y lograr la aprobación por parte del cliente de los diseños entregados. Dar soporte a los desarrolladores sobre los diseños entregados de acuerdo al período de soporte establecido para la fase de diseño de integración. Ser proactivo claro y oportuno para identificar y comunicar issues relacionados con su tarea y el contexto en la que esta se ejecuta recomendando posibles soluciones. Hacer la transferencia de conocimiento al cliente sobre los diseños entregados. Dar soporte evolutivo y correctivo sobre los diseños entregados. Ejecutar las tareas de acuerdo a la planificación de demanda del cliente y los acuerdos generales y coyunturales alcanzados con el cliente. Sugerir mejoras a la metodología la planificación del trabajo y la formulación de requerimientos de integración. Buscar permanentemente oportunidades para mejorar la productividad de la fase de diseño de integración y la automatización de tareas.Requisitos 3 o más años de Experiencia en estructura de datos Experiencia en arquitectura orientada a servicios (SOA) Experiencia con plataforma tecnológica FICO Conocimientos en pruebas de Software Conocimientos de metodología AgileMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/analista-dise%C3%B1ador-ss-at-dxc-technology-1930357584?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Analista Diseñador SS","Job DescriptionEl Data Integration Designer toma los requerimientos de integración de datos y los expresa como diseños de componentes de integración basados en patrones existentes y flujos de ejecución que puedan ser implementados por los desarrolladores en las herramientas de integración disponibles de acuerdo a estándares definidos por el cliente y aplicando la metodología de DXC.Responsabilidades Conocer y aplicar la metodología de diseño de DXC de acuerdo a los estándares y arquitectura del cliente. Analizar y definir procesos tareas flujos de datos dependencias y sus casos de prueba unitaria. Validar que los requerimientos de negocio sean correctos (completo consistente conciso y factible). Trabajar en conjunto con el analista de negocio y el analista de datos del cliente para resolver gaps entre cada requerimiento y el diseño de integración documentando las decisiones. Crear y mantener la definición del alcance del requerimiento desde el punto de vista del diseño de integración. Crear y mantener una bitácora de preguntas y respuestas para cada requerimiento. Ejecutar revisiones de diseño de integración. Participar en revisiones de modelos de datos. Construir consensos y lograr la aprobación por parte del cliente de los diseños entregados. Dar soporte a los desarrolladores sobre los diseños entregados de acuerdo al período de soporte establecido para la fase de diseño de integración. Ser proactivo claro y oportuno para identificar y comunicar issues relacionados con su tarea y el contexto en la que esta se ejecuta recomendando posibles soluciones. Hacer la transferencia de conocimiento al cliente sobre los diseños entregados. Dar soporte evolutivo y correctivo sobre los diseños entregados. Ejecutar las tareas de acuerdo a la planificación de demanda del cliente y los acuerdos generales y coyunturales alcanzados con el cliente. Sugerir mejoras a la metodología la planificación del trabajo y la formulación de requerimientos de integración. Buscar permanentemente oportunidades para mejorar la productividad de la fase de diseño de integración y la automatización de tareas.Requisitos 3 o más años de Experiencia en estructura de datos Experiencia en arquitectura orientada a servicios (SOA) Experiencia con plataforma tecnológica FICO Conocimientos en pruebas de Software Conocimientos de metodología AgileMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/especialista-en-analisis-y-dise%C3%B1o-de-datos-conocimientos-en-web-services-at-dxc-technology-1930361017?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Especialista en Analisis y diseño de datos conocimientos en web services )","Job DescriptionEl Data Integration Designer toma los requerimientos de integración de datos y los expresa como diseños de componentes de integración basados en patrones existentes y flujos de ejecución que puedan ser implementados por los desarrolladores en las herramientas de integración disponibles de acuerdo a estándares definidos por el cliente y aplicando la metodología de DXC.Responsabilidades Conocer y aplicar la metodología de diseño de DXC de acuerdo a los estándares y arquitectura del cliente. Analizar y definir procesos tareas flujos de datos dependencias y sus casos de prueba unitaria. Validar que los requerimientos de negocio sean correctos (completo consistente conciso y factible). Trabajar en conjunto con el analista de negocio y el analista de datos del cliente para resolver gaps entre cada requerimiento y el diseño de integración documentando las decisiones. Crear y mantener la definición del alcance del requerimiento desde el punto de vista del diseño de integración. Crear y mantener una bitácora de preguntas y respuestas para cada requerimiento. Ejecutar revisiones de diseño de integración. Participar en revisiones de modelos de datos. Construir consensos y lograr la aprobación por parte del cliente de los diseños entregados. Dar soporte a los desarrolladores sobre los diseños entregados de acuerdo al período de soporte establecido para la fase de diseño de integración. Ser proactivo claro y oportuno para identificar y comunicar issues relacionados con su tarea y el contexto en la que esta se ejecuta recomendando posibles soluciones. Hacer la transferencia de conocimiento al cliente sobre los diseños entregados. Dar soporte evolutivo y correctivo sobre los diseños entregados. Ejecutar las tareas de acuerdo a la planificación de demanda del cliente y los acuerdos generales y coyunturales alcanzados con el cliente. Sugerir mejoras a la metodología la planificación del trabajo y la formulación de requerimientos de integración. Buscar permanentemente oportunidades para mejorar la productividad de la fase de diseño de integración y la automatización de tareas.Requisitos 5 o más años de experiencia en estructura de datos Experiencia avanzada en arquitectura orientada a servicios (SOA) Experiencia plataforma tecnológica FICO Experiencia y liderazgo en procesos técnicos Conocimientos en pruebas de Software Conocimientos de metodología AgileMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/analista-senior-business-intelligence-de-operaciones-mercado-pago-at-mercadolibre-1954178284?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Analista Senior Business Intelligence de Operaciones - Mercado Pago","En Mercado Libre estamos democratizando el comercio el dinero y los pagos en América Latina.Mercado Pago es una plataforma abierta de pagos que permite cobrar las ventas realizadas on-line dentro de Mercado Libre y por fuera del sitio posibilitando a millones de comerciantes procesar de manera segura sus ventas con tarjetas de débito y crédito. Nuestras soluciones de Mercado Pago facilitan el checkout y procesamiento de pago en sitios web con la más alta tasa de confianza y aceptando más de 50 medios de pago en toda América Latina. Nuestra app de Mercado Pago y nuestras soluciones de cobros a través de dispositivos mPoint conectados a smartphones permiten disponer de puntos de venta móviles donde quiera que nuestros vendedores estén. ¿Te gustaría innovar en un mercado de pagos digitales que no para de crecer?Tenemos Un Desafío Para Quienes Vibran energía emprendedora: se mueven por la curiosidad nunca se rinden y se enfocan en superar sus propios límites. Dan el máximo porque les gusta trabajar con compromiso y dedicación. Viven los cambios como oportunidades y aprenden de sus errores. La excelencia y la ejecución son claves en su forma de hacer las cosas. Promueven el buen clima aportan alegría y diversión. Saben cómo construir con otras personas y disfrutan trabajando en equipo.Imaginate emprendiendo proyectos desafiantes dinámicos e innovadores y siendo responsable de: Diseñar reportes y dashboards que ayuden a controlar la operación de Mercado Pago a fin de optimizar la perfomance. Relevar y comprender las necesidades de información de los usuarios de negocio a fin de garantizar la excelencia en el servicio prestado. Participar activamente del modelado lógico de datos para la construcción de ambiente de reporting self-service. Identificar problemas y oportunidades con respecto a datos o a las herramientas de explotación y proponer soluciones. Trabajar junto con líderes de distintos equipos y áreas de negocio para asegurar la correcta adopción de las soluciones.Requisitos Contar con experiencia en diseño de soluciones de Business Intelligence y herramientas de explotación como SQL y Tableau. Poseer experiencia de trabajo colaborativo con usuarios.Te Proponemos Ser parte de una compañía con espíritu emprendedor en la que nos encanta pensar en grande y a largo plazo. Ser protagonista de tu desarrollo en un ambiente de oportunidades aprendizaje crecimiento expansión y proyectos desafiantes. Compartir y aprender en equipo junto a grandes profesionales y especialistas. Un excelente clima de trabajo con todo lo necesario para que vivas una gran experiencia. :)En Mercado Libre trabajamos para promover una cultura inclusiva que busca la equidad y valora las diferentes perspectivas. Esto se traduce en género religión personas con discapacidad LGBTQ+ raza etnia y diversidad de experiencias. Trabajamos todas nuestras búsquedas con base en esta premisa. ¡Súmate a nuestro equipo!Argentina Buenos Aires CABA Capital FederalMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/responsable-de-operaciones-de-infraestructura-devops-remoto-at-talento-capital-humano-1954561866?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Responsable de Operaciones de Infraestructura (Devops) (REMOTO)","Para importante empresa multinacional de soluciones para la Transformación Digital nos encontramos en la búsqueda de un Responsable de Operaciones de Infraestructura (Devops)MISIÓN:Asegurar la operación de las plataformas de infraestructura de acuerdo con los niveles de servicio requeridos por cada contrato.Instalar y configurar la infraestructura y herramientas derivadas de la incorporación de nuevos contratos con clientes.Mantener la operación de la infraestructura propia interna de Simbius y sus herramientas de gestiónPRINCIPALES FUNCIONESRequisitosInstalar y configurar servidores tanto físicos como virtuales pertenecientes a infraestructura propia o servicios en la nube como Amazon o similaresInstalar y configurar las herramientas requeridas por los clientes de acuerdo con los lineamientos del Gerente TécnicoRealizar todas las tareas de operación y mantenimiento de los servidores y herramientas como por ejemplo pero no excluyente respaldos restauraciones mantenimiento de discos parchado deherramientas y sistemas operativos etc.Escalar los incidentes derivados de la operación a las instancias correspondientes y desarrollar procesos de investigación para apoyar en las soluciones de dichos incidentes Diseñar soluciones acordes a las particularidades de cada proyecto.Instalación de Productos.Implementar las parametrizaciones definidas en el diseño de solución.Verificar las parametrizaciones realizadas.Proponer mejoras o cambios al producto base a partir de la experiencia obtenida en los proyectos de implementación.Reportar bugs encontrados en el producto base.Registrar las soluciones utilizadas para su posible posterior reutilización.Estudiante o graduado de sistemasContar con un mínimo de 5 años de experiencia en roles similares.Experiencia en: Sistemas Operativos Windows y Linux Herramientas de operación de S.O Virtualizadores VMware Herramientas de atención de Incidentes tipo Jira Instalación de Servidores On premise y en la nube (Linux y Windows) Administración básica de Base de datos (MS-SQL MySQL Oracle) Administración Web App (Tomcat IIS Node.JS) Herramientas Office 365 (Word Excel PowerPoint Teams Sharepoint) Herramientas GSuite (GmailGdocGsheet)Deseable Certificaciones en S.O Microsoft Oracle Amazon Metodologías agiles tipo SCRUM Programación de scripts (cmd bat javascript) Microsoft PowerShell Herramientas de control de proyecto tipo Project Devops (Bitbucket Azure DevOps)Inglés TécnicoDisponibilidad para viajar al exterior cuando sea posible y se requiera.TRABAJO 100% REMOTOMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/responsable-de-operaciones-de-infraestructura-devops-remoto-at-zonajobs-1953990970?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Responsable de Operaciones de Infraestructura (Devops) (REMOTO)","Descripción De La OfertaPara importante empresa multinacional de soluciones para la Transformación Digital nos encontramos en la búsqueda de un Responsable de Operaciones de Infraestructura (Devops)MisiónAsegurar la operación de las plataformas de infraestructura de acuerdo con los niveles de servicio requeridos por cada contrato.Instalar y configurar la infraestructura y herramientas derivadas de la incorporación de nuevos contratos con clientes.Mantener la operación de la infraestructura propia interna de Simbius y sus herramientas de gestiónPRINCIPALES FUNCIONESInstalar y configurar servidores tanto físicos como virtuales pertenecientes a infraestructura propia o servicios en la nube como Amazon o similaresInstalar y configurar las herramientas requeridas por los clientes de acuerdo con los lineamientos del Gerente TécnicoRealizar todas las tareas de operación y mantenimiento de los servidores y herramientas como por ejemplo pero no excluyente respaldos restauraciones mantenimiento de discos parchado deherramientas y sistemas operativos etc.Escalar los incidentes derivados de la operación a las instancias correspondientes y desarrollar procesos de investigación para apoyar en las soluciones de dichos incidentes Diseñar soluciones acordes a las particularidades de cada proyecto.Instalación de Productos.Implementar las parametrizaciones definidas en el diseño de solución.Verificar las parametrizaciones realizadas.Proponer mejoras o cambios al producto base a partir de la experiencia obtenida en los proyectos de implementación.Reportar bugs encontrados en el producto base.Registrar las soluciones utilizadas para su posible posterior reutilización.REQUISITOS:Estudiante o graduado de sistemasContar con un mínimo de 5 años de experiencia en roles similares.Experiencia en: Sistemas Operativos Windows y Linux Herramientas de operación de S.O Virtualizadores VMware Herramientas de atención de Incidentes tipo Jira Instalación de Servidores On premise y en la nube (Linux y Windows) Administración básica de Base de datos (MS-SQL MySQL Oracle) Administración Web App (Tomcat IIS Node.JS) Herramientas Office 365 (Word Excel PowerPoint Teams Sharepoint) Herramientas GSuite (GmailGdocGsheet) Deseable:  Certificaciones en S.O Microsoft Oracle Amazon Metodologías agiles tipo SCRUM Programación de scripts (cmd bat javascript) Microsoft PowerShell Herramientas de control de proyecto tipo Project Devops (Bitbucket Azure DevOps)Inglés TécnicoDisponibilidad para viajar al exterior cuando sea posible y se requiera.TRABAJO 100% REMOTOMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/analista-de-marketing-digital-at-grupo-agroempresa-1953757588?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Analista de Marketing Digital","La posición tiene como objetivo posicionar y potenciar la empresa en el mundo digital desarrollando ejecutando y supervisando planes de acción digitales sinérgicos.La posición tiene como responsabilidades primarias las siguientesPlanificación y gestión de redes sociales.Ejecución de campañas digitales.Armado de brief para piezas de diseño entre otras.RequisitosEstamos buscando profesionales técnicos o Lic. en Marketing con una especialidad o post grado en Marketing Digital con experiencia de al menos dos años Marketing digital manejo de CRM y sistema de email Marketing.Valoramos personas con perfil proactivocreativo organizado metódico sistemático y resolutivo con una fuerte orientación al trabajo en equipo.Disponibilidad full time.Residencia en Jesús Maria o zonas aledañas.BeneficiosSe ofrece la posibilidad de incorporarse a una empresa en constante desarrollo solida y con trayectoria en el mercado excelente clima laboral con un proyecto de expansión e interesantes desafíos laborales.GRUPO AGROEMPRESA Una empresa familiar con más de 36 años de trayectoria conformada por un conjunto de unidades de negocio que trabajan coordinadas para asegurar al productor asistencia integral y excelencia en la atención. Su Casa Central está estratégicamente ubicada a poco más de 50 Km de la ciudad de Córdoba en la localidad de Sinsacate. En un predio de 5 hectáreas es el hogar de GRUPO AGROEMPRESA allí se concentran sus oficinas para los grandes negocios de importación y exportación y sus 6 Unidades de Negocios Agroempresa Insumos Agroempresa Semillas Agroempresa Máquinas Cabaña Los SocavonesTransporteBodega Terra Camiare Ha consolidado su posición en todo el interior del país siendo una de las referentes más importantes a nivel nacional e internacional ofreciéndole a todos sus clientes tecnología de punta experiencia respaldo rendimiento óptima cobertura geográfica y la mejor variedad de productos y servicios con garantía de valor. Cuenta con sucursales en las provincias de Córdoba (Sinsacate San José de la Dormida La Puerta Río Primero Río Segundo Alta Gracia Sacanta y Santiago Temple) Chaco (Resistencia y Las Brañas) Formosa (Las Lomitas) Santiago del Estero (Bandera) Tucuman Capital y Salta (Las Lajitas). Talento innovación pasión profesionalismo calidez tecnología sustentabilidad son algunas de las cualidades referentes de los valores que hacen única a Grupo Agroempresa. Además de un amplio grupo de personas comprometidas y apasionadas por el campo argentino.Mostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/pasante-para-el-%C3%A1rea-de-mantenimiento-estudiante-de-ingenir%C3%ADa-electromec%C3%A1nica-ingenier%C3%ADa-mec%C3%A1nica-o-afines-miqa-arroyito-cordoba-at-dupont-1887406676?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Pasante para el área de mantenimiento - Estudiante de Ingeniría Electromecánica / Ingeniería Mecánica o afines (MIQA) -ARROYITO CORDOBA","DescriptionDUPONT es una compañía de innovación y desarrollo tecnológico que ofrece a sus empleados la posibilidad de aprender cotidianamente y desarrollarse en sus puestos de trabajo y área profesional; brindando un excelente clima laboral priorizando el respeto por las personas la salud y la seguridad la protección del planeta y un alto comportamiento ético.En esta oportunidad buscamos sumar a nuestro equipo un estudiante que se encuentre promediando su carrera de Ingeniería Electromecánica  Ingeniería Mecánica o afines que quiera participar de una enriquecedora experiencia de aprndizaje.Quien tome esta oportunidad tendrá como principales responsabilidades Realizar tareas relacionadas al programa MIQA (Integridad Mecánica y Garantía de Calidad). Brindar soporte en programas de gestión de la integridad mecánica de las instalaciones actuales y futuras. Llevar a cabo tareas que permitan asegurar que las instalaciones sean integras y seguras. Definir el gerenciamiento de los equipos a lo largo de su vida útil para mantenerlos dentro de límites aceptables de performance y eliminar eventos durante el proceso de producción. Verificar la calidad de los materiales los repuestos y los servicios contratados para asegurar una producción segura y eficiente.QualificationsEs importante contar con inglés avanzado (oral y escrito)Manejo del paquete OfficeEstar promediando los últimos años de la carrera de Ingeniería electromecánica / Ingeniería Mecánica (que resten al menos 18 meses para graduarse).Manejo de SOFTWARES de diseño (Excluyente)Conocimiento de dibujo Técnico en Softwares de dibujo técnico. (Excluyente)Ubicación Arroyito Córdoba o alrededores. (Excluyente).Ofrecemos la oportunidad de ser parte de una experiencia única de aprendizaje desarrollo y contribución en una de las compañías de innovación y aporte tecnológico a la industria alimentaria con mayor trayectoria e impacto a nivel global¡En caso de querer ser parte esperamos tu postulación!JobLimited Service EmployeesPrimary LocationLatin America-Argentina-Cordoba-ArroyitoOrganizationNutrition & BiosciencesEducation LevelTechnical Diploma (±12 years)SchedulePart-timeEmployee StatusLimited TermJob TypeEntry LevelMostrar másMostrar menos"
"https://ar.linkedin.com/jobs/view/%E2%80%8Banalista-reporting-%E2%80%93-power-bi-caba-at-zonajobs-1953992614?refId=bf0faa36-5ead-4d36-a9ef-90836805610c&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","​Analista Reporting – Power BI |CABA","Descripción De La OfertaAnalista Reporting – Power BI Para importante empresa internacional con más de 35 años de experiencia en prestar servicios de soluciones logísticas integrales en todo el mundo priorizando las necesidades de los clientes con el más alto nivel de servicio seguridad adaptabilidad y las mejores prácticas de mercado. Más de 1700 personas trabajan diariamente para atender las necesidades de nuestros clientes que nos eligen a través de nuestra red mundial de filiales.Nos encontramos en la búsqueda de un Analista Reporting – Power BI con Experiencia en Análisis y Diseño de soluciones de software como así también la generación de Especificaciones Técnicas y funcionales Experiencia comprobable por lo menos 4/5 años aplicando la tecnología descriptaTe compartimos más información de la posición:RequisitosValoramos que hayan trabajado en proyectos con las siguientes tecnologías:Experiencia en Implementación de Soluciones de BI ( Business Intelligence ) sobre la solución: “Power BI” + SQL ServerBeneficiosContratación directa: Posición EfectivaMedicina Prepaga para colaborador y grupo familiar + Cuponera de Descuentos (Cuponstar)Desarrollar tu propia carrera en un ambiente cambiante y altamente desafianteLugar de trabajo: Belgrano próximo al Barrio Chino (La Pampa y Av. Del Libertador)Mostrar másMostrar menos"
