"URL","NOMBRE","DESCRIPCION"
"https://co.linkedin.com/jobs/view/disen%CC%83o-y-multimedia-at-importante-empresa-del-sector-1954465003?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Diseño y Multimedia","Se requiere profesional en Comunicador Gráfico Publicitario Comunicador Gráfico y Multimedial. Con experiencia mínima de 36 meses como Diseñador de contenidos y recursos para la virtualidad.Funciones Gestionar desde el diseño y la creatividad los recursos gráficos para los objetos virtuales de aprendizaje Diseñar elementos gráficos creativos para la plataforma las plantillas de los OVA (Objetos de Virtuales de Aprendizaje) las etiquetas los banners y los cabezotes para el espacio virtual de curso y los recursos digitales con base en el look and feel definido. Realizar las modificaciones de las plantillas y elementos gráficos. Diseñar los elementos gráficos para los recursos digitales (video tutorial esquemas interactivos multimedias) y las actividades de autoaprendizaje y autoevaluación. Garantizar la calidad gráfica y multimedial de los productos.Competencias laborales para desarrollar el cargo: Creatividad innovación orientación al detalle trabajo en equipo orientación al logro adaptación a ambientes de trabajo.Conocimientos Tecnicos Conocimientos en procesos creativos. Conocimientos en la creación de elementos gráficos y recursos digitales para productos e-learning. Manejo avanzado de programas de diseño (Photoshop InDesign Illustrator) Conocimientos en Diseño Web y Diseño Responsive. Fundamentos de Experiencia de Usuario UX.Salario: $2.000.000 - $2.500.000 De acuerdo a experiencia y conocimientos.Horario: Lunes a viernes de 7:30 am a 6:00 pmTipo de contrato: Fijo Disponibilidad para viajar: SiDisponibilidad para cambio de residencia: SiMostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/asistente-de-control-de-procesos-at-sandra-elizabeth-roa-linares-1954179120?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Asistente de Control de Procesos","DescripciónSolicitamos para empresa especializada en Ecoturismo un(a) Asistente Control de Procesos. Buscamos persona con perfil proactivo con ganas de desarrollarse en el área realizando tareas generales vía remota con buena capacidad de comunicación que sepa trabajar en equipo todo el trabajo será desde la comodidad de su casa.Responsabilidades: desarrollar mantener actualizados y vigilar los estándares de calidad de la organización en todo lo referente al funcionamiento de los programas y equipos que sean utilizados en la entidad de trabajo. Mantener un control sobre las versiones de programas y equipos certificados que se encuentran en las distintas sedes.RequisitosLicenciado(a) o TSU en Administración mención: Organización y Método o afín. Mínimo un año de experiencia en: aplicación de metodologías para el diseño análisis y descripción de procesos y procedimientos redacción de políticas y normas diseño de formularios instructivos guías prácticas o funcionales. Sólidos conocimientos de la normativa ISO. Manejo avanzado de herramientas Office. Excelente redacción y dicción. Persona organizada metódica buen manejo del detalle proactivo(a) tolerante orientada al logro y trabajo en equipo capacidad de documentación.Mostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/dise%C3%B1ador-para-medios-digitales-at-importante-empresa-del-pa%C3%ADs-1954173839?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Diseñador para Medios Digitales","DescripciónSolicitamos para empresa especializada en Ecoturismo un(a) Diseñador para medios digitales. Buscamos persona con perfil proactivo con ganas de desarrollarse en el área realizando tareas generales vía remota con buena capacidad de comunicación que sepa trabajar en equipo todo el trabajo será desde la comodidad de su casa. Responsabilidades: producir el diseño y la producción de diseños para anuncios y videos digitales gráficos de productos logotipos web gráficos y banners de medios sociales anuncios de banners estáticos y dinámicos campañas de correo electrónico.Traducir el posicionamiento del producto la investigación existente y las estrategias de marketing offline y online en diseños efectivos.Gestionar y producir el trabajo de diseño digitalAsegurar la consistencia de la marca y la creatividad a través de los puntos de contacto digitales del cliente.RequisitosUn sólido portafolio de trabajo de diseño que muestra la solución a los problemas empresariales a través de un diseño efectivo. Capaz de presentar conceptos y dirigir a los equipos internos hacia la solución correcta. Experiencia en mercadeo - Profundo conocimiento de los procesos de diseño. Experiencia en el diseño de sitios web de comercio electrónico o publicidad. Fuerte ética de trabajo y responsabilidad personal. Buenas habilidades interpersonales. Dominio de los productos de Adobe Creative Suite en particular de Photoshop. Debe poseer teléfono inteligente y computadora con conexión a internet.Mostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/docente-desarrollador-de-videojuegos-at-importante-empresa-del-sector-1954458909?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Docente desarrollador de videojuegos","Se requiere Tecnólogo o Profesional en Desarrollo de software diseño comunicación Audiovisual o afines . Con experiencia mínima de 12 meses como docenteFuncionesSer Docente y/o profesional con experiencia en la creación y desarrollo de Video juegos y experiencias interactivas alto conocimiento y experiencia en la producción de arte para videojuegos y en su flujo completo de trabajo. (Modelado Texturización Rigging y Animación))El docente debe tener en cuenta las siguientes responsabilidades administrativas: Asistencia a clase y hacer calificación de trabajos. Actualización de información del estudiante notas asistencia y estado del estudiante en plataforma institucional. Adicionalmente deberá asistir a reuniones de profesores esporádicamente durante el semestre al igual que socializar su metodología y resultados con el colectivo docente.Competencias laborales para desarrollar el cargo: Creatividad innovación orientación al detalle trabajo en equipo adaptación a ambientes de trabajo. comunicación asertiva Con conocimiento y experiencia en los software:Software 3D: Maya 3Ds max Zbrush Substance Mudbox.Software de Video: Adobe Premier After Effects.Game Engine: Unity y/o Unreal EngineTodos direccionados al desarrollo de videojuegos.Salario: Segun escalafon docenteHorario: (Horarios tentativos)De lunes a viernes 7:30 a 10:30 a.m.Noche 6:15 a 9:25 p.m.Sábados desde las 7:30 a.m. a 12:00Tipo de contrato: Fijo por periodos académicos. Disponibilidad para viajar: SiDisponibilidad para cambio de residencia: SiMostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/analista-de-proyectos-bogot%C3%A1-soluciones-de-software-log%C3%ADstico-at-recurso-confiable-1954265814?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Analista de Proyectos Bogotá - Soluciones de Software Logístico","Conocimiento En Redes (Networking)hardware y Software Indispensable Manejo De Excel Avanzado Con Actitud De Trabajo En Equipo Servicio Al Cliente Proactivo Recursivo Para Desarrollar Las Siguientes FuncionesRecurso Confiable Colombia SAS Empresa de Soluciones tecnológicas para el sector transporte y logístico requiere para su equipo de proyectos tecnólogos o profesionales en formación en carreras de como Ingeniería Industrial administrativa. Tecnólogo en informática o sistemas Tecnología en logística y afines con experiencia en 2 años en administración de proyectos y relacionados.Permanente detección y análisis de necesidades y oportunidades de los asociados para el diseño e implementación de soluciones.Gestionar el desarrollo de nuevos proyectos mediante investigaciones análisis de datos e interpretaciones de necesidades de los clientes.Elaborar y presentar la información y documentación de requerimientos según los procesos y alcance de la compañía.Controlar las actividades de tipo administrativo de los proyectos tales como: estimaciones controles seguimiento y actividades establecidas para cada proyecto.Realizar el trabajo operativo y de campo necesario para el desarrollo y ejecución de los proyectos.Preparar y presentar informes sobre los avances de los proyectos analizados dentro de los plazos establecidos por la Gerencia y los clientes.Documentar los requerimientos de los clientes dar seguimiento a las historias de usuarioPlanear la ejecución de la implementación de los sistemas diseñar cronogramas y hacerles seguimiento.Ser interlocutor entre las áreas de soporte y los clientes.Mostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/analista-de-proyectos-bogot%C3%A1-soluciones-de-software-log%C3%ADstico-at-recurso-confiable-1954264971?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Analista de Proyectos Bogotá - Soluciones de Software Logístico","Conocimiento En Redes (Networking)hardware y Software Indispensable Manejo De Excel Avanzado Con Actitud De Trabajo En Equipo Servicio Al Cliente Proactivo Recursivo Para Desarrollar Las Siguientes FuncionesRecurso Confiable Colombia SAS Empresa de Soluciones tecnológicas para el sector transporte y logístico requiere para su equipo de proyectos tecnólogos o profesionales en formación en carreras de como Ingeniería Industrial administrativa. Tecnólogo en informática o sistemas Tecnología en logística y afines con experiencia en 2 años en administración de proyectos y relacionados.Permanente detección y análisis de necesidades y oportunidades de los asociados para el diseño e implementación de soluciones.Gestionar el desarrollo de nuevos proyectos mediante investigaciones análisis de datos e interpretaciones de necesidades de los clientes.Elaborar y presentar la información y documentación de requerimientos según los procesos y alcance de la compañía.Controlar las actividades de tipo administrativo de los proyectos tales como: estimaciones controles seguimiento y actividades establecidas para cada proyecto.Realizar el trabajo operativo y de campo necesario para el desarrollo y ejecución de los proyectos.Preparar y presentar informes sobre los avances de los proyectos analizados dentro de los plazos establecidos por la Gerencia y los clientes.Documentar los requerimientos de los clientes dar seguimiento a las historias de usuarioPlanear la ejecución de la implementación de los sistemas diseñar cronogramas y hacerles seguimiento.Ser interlocutor entre las áreas de soporte y los clientes.Mostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/dise%C3%B1ador-gr%C3%A1fico-at-sandra-elizabeth-roa-linares-1954180460?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Diseñador Gráfico","DescripciónSomos una prestigiosa organización con más de cuatro décadas de trayectoria de Turismo en Europa especializada desde hace 25 años en Ecoturismo y Desarrollo Sostenible y con cooperación internacional nuestra misión es el desarrollo de la economía verde. Determinar el concepto a graficar junto con el departamento demercadeo. Realizar bosquejos o ejemplos del concepto para presentar. Conceptualizar los bosquejos en forma digital. Coordinar con la impresión del material para velar que laconceptualización se cumpla. Documentar los resultados del impacto de los diseños.RequisitosLa persona debe tener conocimiento en Programas de Diseño (Ilustrador Photoshop InDesign etc.) Fotografía etc. El Diseñador debe ser muy creativo e innovador así como también ser una persona dinámica y proactiva.Mostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/arquitecto-at-sandra-elizabeth-roa-linares-1954180481?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Arquitecto","DescripciónSolicitamos para empresa especializada en Ecoturismo un(a) Arquitecto. Buscamos persona con perfil pro-activo con ganas de desarrollarse en el área realizando tareas generales vía remota con buena capacidad de comunicación que sepa trabajar en equipo todo el trabajo será desde la comodidad de su casa. Debe poseer teléfono inteligente y computadora con conexión a internet.Modalidad de contratación tipo freelance.Responsable en los procesos del área que incluyen entre otras: Poseer experiencia comprobable en: Diseño gráfico y Artes para redes Sociales Conocer los siguientes sistemas: Photoshop Corel Draw Illustrator entre otros software de Diseño. Poseer experiencia en la elaboración de catálogos afiches flyer planos etiquetas encartes ilustraciones y publicaciones para redes sociales. Diseñar y elaborar proyectos arquitectónicos.RequisitosRequerimientos - Educación mínima: Educación Técnico/Profesional - Años de experiencia: 2 - Conocimientos: Photoshop Corel Draw Illustrator entre otros software de Diseño. Paquete Office avanzado. - Disponibilidad de Viajar: No - Disponibilidad de cambio de residencia: NoMostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/dise%C3%B1ador-grafico-marketing-digital-at-tempolider-sas-1954268261?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Diseñador Grafico - marketing digital","Esta persona debe tener formacion en diseño grafico con enfoque en marketing digital. Esta persona debe ser joven con ganas de crecer. Estara a cargo de plataformas digitales actualizacion de productos de pagina web creacion de contenido manejo de marketplace mas grande de Colombia. creacion de contenido diseños de protafolios etc.Sueldo base $1.300.000 + Todas las prestaciones de ley.Mostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/datamarshall-medellin-urgente-ingles-intermedio-at-activos-s-a-s-1954456251?refId=635a73ac-b404-4639-96fb-368072bc6fb1&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Datamarshall Medellin Urgente Ingles Intermedio","Importante empresa de servicios ubicada en Medellin se encuentra en búsqueda de Profesional o estudiante Técnico Tecnólogo o Universitario de Publicidad y Mercadeo Administración de Empresas Ingeniería Industrial Economía Diseño Gráfico.Ingles intermedio Conocimiento en Excel.Manejo de office.Dominio de conceptos (diseño programación redes sociales y producción gráfica)con experiencia de 1 año en cargos cómo Datamarshall para laborar con disponibilidad de tiempo en horario de lunes a Sábado 8 horas diarias Disponibilidad dos domingos al mes Salario $2400.000 mas una variable de $400.000 mas prestaciones de ley .Dominio del idioma ingles. Idiomas: InglésEdad: Entre 18 y 50 añosDisponibilidad para viajar: SiDisponibilidad para cambio de residencia: SiMostrar másMostrar menos"
