"URL","NOMBRE","DESCRIPCION"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-marketing-y-diseno-en-bogota-dc-BD421C50B282241861373E686DCF3405","Soporte Marketing y Diseño","Importante Compañía Multinacional se encuentra en búsqueda de profesional en diseño , mercadeo, publicidad o afines con 1 año de experiencia en áreas de diseño o marketing,. Conocimientos en campañas de mercadeo, procesos operativos,diseño, edición y Photoshop. Salario: 1.600.000"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-trade-marketing-en-quibdo-F74AE1B6B7EE9C0461373E686DCF3405","Ejecutivo de ventas Trade Marketing","Importante multinacional de bebidas gaseosas, requiere para su equipo de trabajo técnico en áreas comerciales  o administrativas con 3 años de experiencia en trade marketing de productos de consumo masivo que cuente con vehículo o moto HORARIO: Lunes a sábados disponibilidad de viajar salario $1.100.000+ Prestaciones de ley + comisiones + Beneficios de compañía + Auxilio de Rodamiento"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-marketing-digital-y-ventas-sector-alimentos-cali-en-cali-A5A7F5399E61C9C361373E686DCF3405","Coordinador de marketing digital y ventas sector alimentos - Cali","Somos una empresa del sector retail distribuidora de productos perecederos y estamos en búsqueda de un COORDINADOR DE MARKETING Y VENTAS DEL CANAL  DIGITAL, profesional en mercadeo o afines con experiencia mínima de 3 años en el sector retail  con marcas de consumo masivo de alimentos, Conocimiento y experiencia en negocios digitales, fidelización, recompra, promociones, campañas, manejo de páginas Web y Redes Sociales / Twitter, Facebook Social Selling, estrategias comerciales canal TAT y manejo de alianzas (Uber).Salario a convenir entre $ 2.000.000 a $3.500.000 de acuerdo a experiencia y conocimientos. Contrato a término indefinido. Horarios 7 :30 am y 5:30 pm lunes a viernes- sábados de manera eventual."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-trade-marketing-sector-telecomunicaciones-tecnologia-o-linea-blanca-en-bogota-dc-7381A895144BF6D861373E686DCF3405","Gerente Trade Marketing Sector telecomunicaciones tecnologia o linea blanca","Importante compañia  ubicada en la ciudad de Bogota, requiere para su equipo de trabajo Gerente Trade Marketing (Profesional en publicidad, mercadeo,administración de empresas o ingeniería industrial) con experiencia mínima de 5 años en empresas del sector  de telecomunicaciones ,tecnologia o linea blanca realizando funciones como: Análisis estratégico, liderazgo y coordinación en ventas con conocimientos en trade marketing de gerencia, direccionamiento de personal y análisis de resultados.No consumo masivo.Salario: Entre $6.000.000 a $8.000.000.Horario: Lunes a sabado."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-marketing-coordinator-en-barranquilla-B09927348470236E61373E686DCF3405","Marketing coordinator","One of the most important company in logistic and transportation sector requires a marketing coordinator with bachelor’s degree in marketing, advertising, or communications, it is required 2+ years of work experience as a marketing coordinator or similar role.- Works well as a part of a collaborative team and takes direction well- Knowledge of traditional and digital marketing, content marketing, and social media marketing- Excellent writing, communication, and presentation skills- Proficiency in full Microsoft Office suite, especially with ExcelPreferred Qualifications:Familiarity with Wordpress, HubSpot, &amp; MailChimp softwareBasic – Intermediate knowledge of graphic design and HTMLSalary $2.500.000"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-en-medellin-1F40DF38DD380B2061373E686DCF3405","Analista de Marketing Digital","Reconocida cadena de clínicas estéticas solicita de manera urgente ANALISTA DE MARKETING DIGITAL, acorde al siguiente perfil:Cargo: Analista de marketing DigitalObjetivo:Apoyar el correcto manejo de la marca en los medios digitales, capturar pacientes y clientes potenciales en redes sociales, mantener actualizados los motores de búsqueda para que la marca esté en primeros lugares y apoyar la administración de la tienda virtual.Estudios: Tecnólogo o profesional en comunicación Social, comunicación Gráfica Publicitaria, Mercadeo, Publicidad y/o afines.Experiencia: 2 años de experiencia en marketing digitalConocimientos:Redes sociales, Estrategias digitales, Comunicación publicitaria, Redacción y ortografía, Ley 1581 de protección de datos personales - (habeas data)Salario: $1.764.000Horario: Lunes a viernes 7:00 am- 5:00 pm, sábados 8:00 am- 12:00 pm"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-administrador-punto-de-venta-en-medellin-F6E0CA9C7431F01261373E686DCF3405","Administrador punto de venta","Importante compañía se encuentra en la búsqueda de un Administrador Punto de Venta, tecnólogo o estudiante profesional en Mercadeo  y ventas o carreras afines,Funciones: •	Cierre de negocios. •	Manejo de clientes potenciales •	Cumplimiento de metas comerciales Con mínimo 3 años de experiencia demostrables en venta consultiva de productos o servicios Administración, con buen manejo de programas contables, manejo de sistema office, para laborar de lunes a sábado de 9:00 am a 7:00 pm.Persona con Espíritu comercial, capacidad de gestión, actitud de servicio, atención al cliente.Salario: MLMV+ auxilio de transporte+ horas extras+ comisiones +Bono"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-marketing-digital-y-ventas-sector-alimentos-en-cali-69132F7F808D68F961373E686DCF3405","Coordinador de Marketing Digital y Ventas - Sector Alimentos","Eficacia requiere personal para el cargo de Coordinador de Marketing Digital, profesional en mercadeo, administración o afines,con experiencia mínima de 3 años en el sector retail con marcas de consumo masivo de alimentos, Conocimiento y experiencia en negocios digitales, fidelización, recompra, promociones, campañas, manejo de páginas Web y Redes Sociales / Twitter, Facebook Social Selling, estrategias comerciales canal TAT y manejo de alianzas digitales.Salario a convenir entre $ 2.000.000 a $3.500.000 de acuerdo a experiencia y conocimientos. Contrato a término indefinido.Horarios 7 :30 am y 5:30 pm lunes a viernes- sábados de manera eventual."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-manejo-de-programa-factory-en-bogota-dc-D72C15080951FD1861373E686DCF3405","Analista contable - Manejo de programa Factory","POR FAVOR LEER ANTES DE APLICAR INDISPENSABLE MANEJO DE PROGRAMA  FACTORYImportante compañía se encuentra en la búsqueda de un Analista Contable, Técnologo en Contabilidad con mínimo 3 años de experiencia en el cargo para realizar funciones especificas del Analista, se Labora de Lunes a Sábado de 8:00 am a 4:00 , Salario : 1.500.000 + prestaciones de ley.SI ESTAS INTERESADO Y CUMPLES CON PERFIL POSTULATE Y NOS COMUNICAREMOS LO ANTES POSIBLE."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-marketing-estrategico-digital-en-bucaramanga-432FAACE74939DE861373E686DCF3405","Diseñador Gráfico - Marketing estratégico digital","Empresa comercial requiere Diseñador Gráfico, con mínimo 3 años de experiencia laboral continua y certificable con las siguientes características:Conocimientos en marketing estratégico digital , manejo de c1ampañas SEO/SEM , Diseño gráfico publicitario, manejo de software de diseño , experiencia certificable en manejo de páginas web. Experiencia pautando en Google Adds y de medición en Google Analytics, experiencia en creación de vídeosInteresados que cumplan con el perfil, aplicar a la oferta por este medio."
